"L.p.","Nr pow","Powiat","Organizator","Nazwa wtz","Ulica","Miejscowość","Kod","Poczta","Data utworzenia wtz"
"294","154","otwocki","Stowarzyszenie Rodzin i Przyjaciół Osób Niepełnosprawnych Intelektualnie ""Jesteśmy!""","Warsztat Terapii Zajęciowej ""Jesteśmy!""","","Radiowek 25","05462","Wiązowna","12-24-13"
"295","155","piaseczyński","Katolickie Stowarzyszenie Niepełnosprawnych Archidiecezji Warszawskiej","Warsztat Terapii Zajęciowej","Modrzewiowa 2","Piaseczno","05501","Piaseczno","12-23-99"
"296","156","płocki","Dom Pomocy Społecznej ","Warsztat Terapii Zajęciowej","Zakrzewo 14","Zakrzewo","09460","Mała Wieś","09-02-99"
"297","156","płocki","Dom Pomocy Społecznej ""Nad Jarem"" ","Warsztat Terapii Zajęciowej","Pałacowa 2B","Nowe Miszewo","09470","Bodzanów","09-02-99"
"298","156","płocki","Spółdzielnia Socjalna Osób Prawnych ""Centrum Usług Środowiskowych"" ","Warsztat Terapii Zajęciowej","Mirosław 23","Mirosław","09472","Słupno","03-02-18"
"299","156","płocki","Fundacja ""Panaceum"" ","Warsztat Terapii Zajęciowej","Koszelew 2","Koszelew","95530","Gąbin","04-02-18"
"300","156","płocki","Stowarzyszenie Akademia Praktyki i Innowacji ","Warsztat Terapii Zajęciowej","Męczenino 27","Męczenino","09451","Radzanowo","03-02-20"
"301","156","płocki","Fundacja ""Panaceum""","Warsztat Terapii Zajęciowej","Machcino 47","Machcino","09411","Biała","02-02-21"
"302","157","płoński","Caritas Diecezji Płockiej","Warsztat Terapii Zajęciowej","Płocka 17","Płońsk","09100","Płońsk","09-25-12"
"303","158","pruszkowski","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w Pruszkowie","Warsztat Terapii Zajęciowej ""Ognisko"" ","3 Maja 56","Pruszków","05800","Pruszków","09-02-98"
"304","158","pruszkowski","Krajowe Stowarzyszenie ""Przyłącz się do Nas""","Warsztat Terapii Zajęciowej Krajowego Stowarzyszenia ""Przyłącz się do nas"" w Czubinie","Czubin 13","Czubin","05840","Brwinów","11-27-05"
"305","159","przasnyski","DPS","Warsztat Terapii Zajęciowej ","Ruda 1","Przasnysz","06300","Przasnysz","08-24-98"
"306","160","przysuski","Fundacja ,,ADMAR'' Ruski Bród 94, 26-400 Przysucha","Warsztat Terapii Zajęciowej w Lipinach","Lipiny 43","Lipiny","26425","Lipiny","12-20-09"
"307","160","przysuski","FUNDACJA ,,OPOKA DLA WAS'' ul. Wiejska 94, 26-400 Przysucha","Warsztat Terapii Zajęciowej w Borkowicach","Platanowa 1","Borkowice","26422","Borkowice","05-31-06"
"308","161","pułtuski","Stowarzyszenie Wsparcia Społecznego ,,Jan-Pol""","Warsztat Terapii Zajęciowej w Świeszewie","","Świeszewo","06150","Świercze","12-23-09"
"309","162","radomski","Gmina Miasta Pionki","Warsztat Terapii Zajęciowej ","Leśna 3","Pionki ","26670","Pionki","12-16-08"
"310","162","radomski","Stowarzyszenie Przyjaciół Młodocina Większego i Osób Niepełnosprawnych ""Pozytywni""","Warsztat Terapii Zajęciowej ","","Młodocin Większy","26625","Wolanów","12-17-17"
"311","162","radomski","","Warsztat Terapii Zajęciowej ","","Jedlanka Stara","27100","Iłża","12-10-12"
"312","163","siedlecki","Caritas Diecezji Siedleckiej","Warsztat Terapii Zajęciowej ","Siedlecka","Skórzec","08114","Skórzec","12-28-11"
"313","163","siedlecki","Caritas Diecezji Siedleckiej","Warsztat Terapii Zajęciowej ","Żmichy","Kisielany","08124","Mokobody","12-30-18"
"314","165","sochaczewski","Stowarzyszenie Wsparcie Społeczne ""JA-TY-MY""","Warsztat Terapii Zajęciowej przy Stowarzyszeniu Wsparcie Społeczne JA-TY-MY","Chodakowska 10","Sochaczew","96500","Sochaczew","05-11-97"
"315","166","sokołowski","Caritas Diecezji Drohiczyńskiej, ","Warsztat Terapii Zajęciowej ","Lipowa 84","Sokołów Podlaski","08300","Sokołów Podlaski","12-16-12"
"316","167","szydłowiecki","Stowarzyszenie Pomocy Osobom Niepełnosprawnym ","Warsztat Terapii Zajęciowej ","Zamkowa 9","Szydłowiec","26500","Szydłowiec","12-18-07"
"317","167","szydłowiecki","Stowarzyszenie Abstynentów Klub ""Opoka"" ","Warsztat Terapii Zajęciowej ","Ostałówek","Ostałówek","26510","Chlewiska","12-15-13"
"318","167","szydłowiecki","Fundacja Osiem Marzeń ","Warsztat Terapii Zajęciowej ","Mirówek","Mirówek","26503","Mirów","10-17-17"
"319","168","warszawski","Stowarzyszenie Przyjaciół Osób z Ograniczeniem Samodzielności Życiowej ""AGIS""","Warsztat Terapii Zajęciowej ","Jarosława Dąbrowskiego 71 lok. 65","Warszawa","02586","Warszawa","01-02-98"
"320","168","warszawski","Katolickie Stowarzyszenie Archidiecezji Warszawskiej","Warsztat Terapii Zajęciowej ","Deotymy  41","Warszawa","01441","Warszawa","01-12-99"
"321","168","warszawski","Katolickie Stowarzyszenie Archidiecezji Warszawskiej","Warsztat Terapii Zajęciowej ","Karolkowa 71","Warszawa","01197","Warszawa","10-02-01"
"322","168","warszawski","Stowarzyszenie Rodziców i Opiekunów Osób z Niepełnosprawnością Intelektualną ""Wiara i Nadzieja""","Warsztat Terapii Zajęciowej ","Bohaterów Września 7","Warszawa","02389","Warszawa","07-02-97"
"323","168","warszawski","Fundacja Pomocy Ludziom z Niepełnosprawościami","Warsztat Terapii Zajęciowej ","Konarskiego  60","Warszawa","01335","Warszawa","02-02-06"
"324","168","warszawski","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną","Warsztat Terapii Zajęciowej ","Głogowa  2B","Warszawa","02639","Warszawa","11-04-97"
"325","168","warszawski","Bródnowskie Stowarzyszenie Przyjaciół i Rodzin Osób z Zaburzeniami Psychicznymi ""POMOST""","Warsztat Terapii Zajęciowej ""POMOST""","Św. Wincentego 85","Warszawa","03291","Warszawa","08-21-00"
"326","168","warszawski","Instytut Psychiatrii i Neurologii","Warsztat Terapii Zajęciowej","Sobieskiego 9","Warszawa","02597","Warszawa","08-02-97"
"327","168","warszawski","Stowarzyszenie ""Otwarte Drzwi""","Warsztat Terapii Zajęciowej ""OTWARTE DRZWI""","Równa 10/3","Warszawa","3418","Warszawa","02-21-05"
"328","168","warszawski","Dom Pomocy Społecznej ","Warsztat Terapii Zajęciowej ""Na Przedwiośniu""","Przedwiośnie 1","Warszawa","4748","Warszawa","05-20-99"
"329","168","warszawski","Fundacja Pomocy Osobom z Niepełnosprawnością Intelektualną ""Dom""","Warsztat Terapii Zajęciowej ""Dom""","Wólczyńska 64","Warszawa","1908","Warszawa","10-02-98"
"330","168","warszawski","Spółdzielnia Nowa Praca Niewidomych Cepelia","Warsztat Terapii Zajęciowej","Konduktorska 4 lok. 30","Warszawa","00775","Warszawa","06-29-98"
"331","168","warszawski","Fundacja Perpetuum Mobile","Warsztat Terapii Zajęciowej","Broniewskiego 9","Warszawa","1780","Warszawa","11-03-08"
"332","168","warszawski","Towarzystwo Budownictwa Społecznego Selenus","Warsztat Terapii Zajęciowej","M. Dąbrowskiej 15","Warszawa","1903","Warszawa","12-21-99"
"333","168","warszawski","Warszawski Oddział Terenowy Krajowego Towarzystwa Autyzmu","Warsztat Terapii Zajęciowej","Orzycka 20","Warszawa","02695","Warszawa","10-02-00"
"334","169","warszawski zachodni","Krajowe Stowarzyszenie ""Przyłącz się do nas""","Warsztat Terapii Zajęciowej Krajowego Stowarzyszenia ""Przyłącz się do nas""","Północna 18","Bramki","05870","Błonie","06-10-98"
"335","169","warszawski zachodni","""Społeczna Pomoc - Stowarzyszenie Dom""","Warsztaty Terapii Zajęciowej w Sadowej","Jagodowa 2","Sadowa","05092","Łomianki","12-02-07"
"336","170","węgrowski","Stowarzyszenie Pomocy Osobom Niepełnosprawnym ""Jawor""","Warsztat Terapii Zajęciowej","","Jaworek","07111","Wierzbno","10-02-07"
"337","171","wołomiński","Drewnickie Stowarzyszenie Rodzin i Przyjaciół Osób z Zaburzeniami Psychicznymi ""Empatia""","Warsztat Terapii Zajęciowej","Rychlińskiego 1","Ząbki","5091","Ząbki","01-03-96"
"338","172","wyszkowski","Polskie Stowarzyszenie Na Rzecz Osób z Upośledzeniem Umysłowym Koło w Wyszkowie","PSOUU Koło w Wyszkowie Warsztaty Terapii Zajęciowej","Świętojańska 89A","Wyszków","07202","Wyszków","12-07-08"
"339","173","zwoleński","Stowarzyszenie na Rzecz Pomocy Rodzinie  i Poszkodowanym w Wypadkach Komunikacyjnych w Zwoleniu","Warsztat Terapii Zajęciowej","","Wilczowola","26720","Policzna","12-02-07"
"340","174","żuromiński","Caritas Diecezji Płockiej","Warsztat Terapii Zajęciowej","Kościuszki 2","Żuromin","09300","Żuromin","11-24-05"
"341","175","żyrardowski","MUSI Novum ","Warsztat Terapii Zajęciowej","1 maja 43 a","Żyrardów","96300","Żyrardów","04-29-97"
"342","176","Ostrołęka","Ogólnopolskie Stowarzyszenie Osób Niepełnosprawnych","Warsztat Terapii Zajęciowej ""Motylki""","Mazowiecka 2","Ostrołęka","07410","Ostrołęka","06-10-97"
"343","177","Płock","Stowarzyszenie Pomocy Osobom z Niepełnosprawnością Umysłową ""Jestem""","Warsztat Terapii Zajęciowej","3-go Maja 16","Płock","09402","Płock","05-06-99"
"344","177","Płock","Towarzystwo Przyjaciół Dzieci","Warsztat Terapii Zajęciowej","Królowej Jadwigi 9b","Płock","09400","Płock","11-04-01"
"345","177","Płock","Caritas Diecezji Płockiej","Warsztat Terapii Zajęciowej","Sienkiewicza 54","Płock","09400","Płock","05-30-00"
"346","177","Płock","Parafia Rzymskokatolicka pod wezwaniem Św. Jakuba Apostoła","Warsztat Terapii Zajęciowej","Harcerska 91","Płock","09408","Płock","12-17-03"
"347","177","Płock","Zakład Karny","Warsztat Terapii Zajęciowej","Sienkiewicza 22","Płock","09402","Płock","09-29-98"
"348","177","Płock","Towarzystwo Przyjaciół Dzieci","Warsztat Terapii Zajęciowej","Mościckiego 6","Płock","09400","Płock","02-17-00"
"349","178","Radom","Stowarzyszenie Pomocy Dzieciom Niewidomym i Niedowidzącym ""NADZIEJA""","Warsztat Terapii Zajęciowej","Struga 88","Radom","26600","Radom","11-07-99"
"350","178","Radom","Polskie Stowarzyszenie Na Rzecz Osób z Upośledzeniem Umysłowym ","Warsztat Terapii Zajęciowej","Grenadierów 18","Radom","26600","Radom","01-21-03"
"351","178","Radom","Polski Związek Głuchych Terenowy Ośrodek Rehabilitacji i Wsparcia Społecznego Niesłyszących"," Warsztat Terapii Zajęciowej ""Leśniczówka""","25-go Czerwca 68","Radom","26600","Radom","12-21-09"
"352","178","Radom","Polski Związek Niewidomych Okręg Mazowiecki","Warsztat Terapii Zajęciowej","Królowej Jadwigi 15","Radom","26600","Radom","03-02-11"
"353","178","Radom","Radomskie Stowarzyszenie Sportu i Rehabilitacji Osób Niepełnosprawnych ""START""","Warsztat Terapii Zajęciowej ""START""","Maratońska 1","Radom","26600","Radom","12-30-11"
"354","178","Radom","Stowarzyszenie Pomocy Niepełnosprawnym Centrum Edukacyjno - Rehabilitacyjne ""Do Celu""","Warsztat Terapii Zajęciowej","Kolejowa 14","Radom","26600","Radom","12-18-18"
"355","179","Siedlce","Caritas Diecezji Siedleckiej","Warsztat Terapii Zajęciowej","Bpa Świrskiego 57","Siedlce","08110","Siedlce","05-01-05"
"356","180","brzeski (śląski)","Brzeskie Stowarzyszenie Chorych Na SM","Warsztat Terapii Zajęciowej","1-go Maja 2","Brzeg","49300","Brzeg","08-06-09"
"357","180","brzeski (śląski)","Grodkowskie Stowarzyszenie Osób Niepełnosprawnych i Ich Przyjaciół","Warsztat Terapii Zajęciowej","","Jędrzejów 32a","49200","Gródków","12-23-01"
"358","180","brzeski (śląski)","Stowarzyszenie Przyjaciół i Osób Niepełnosprawnych ""POMÓŻMY IM"" ","Warsztat Terapii Zajęciowej","Kościuszki52","Lewin  Brzeski","49340","Lewin  Brzeski","12-09-03"
"359","181","głubczycki","Powiat Głubczycki","Warsztat Terapii Zajęciowej","Sobieskiego 5","Głubczyce","48100","Głubczyce","01-03-06"
"360","182","kędzierzyńsko-kozielski","Polskie Stowarzyszenie Na Rzecz Osób z Niepełnosprawnością Intelektualną","Warsztat Terapii Zajęciowej","Skarbowa 4","Kędzierzyn Koźle","47200","Kędzierzyn Koźle","12-14-08"
"361","183","kluczborski","Caritas Diecezji Opolskiej","Warsztat Terapii Zajęciowej","Katowicka 9","Kluczbork","46200","Kluczbork","07-21-99"
"362","184","krapkowicki","Gmina Krapkowice","Warsztat Terapii Zajęciowej","Mickiewicza 1","Krapkowice","47303","Krapkowice","12-29-04"
"363","185","namysłowski","Stowarzyszenie Przyjaciół Chorych ""NADZIEJA""","Warsztat Terapii Zajęciowej","Pułaskiego 3b","Namysłów","46100","Namysłów","12-02-09"
"364","186","nyski","Caritas Diecezji Opolskiej","Warsztat Terapii Zajęciowej","Grodkowska 26","Nysa","48300","Nysa","03-29-99"
"365","186","nyski","Stowarzyszenie Przyjaciół i Absolwentów Zespołu Szkół w Głuchołazach","Warsztat Terapii Zajęciowej","Kolonia Kaszubska 2","Głuchołazy ","48340","Głuchołazy ","01-12-04"
"366","187","oleski","Towarzystwo Pomocy Ludziom","Warsztat Terapii Zajęciowej przy Towarzystwie Pomocy Ludziom","Dworcowa 13a","Olesno","46300","Olesno","02-02-99"
"367","187","oleski","Zgromadzenie Braci Szkół Chrześcijańskich","Warsztaty Terapii Zajęciowej prowadzone przez Zgromadzenie Braci Szkół Chrześcijańskich","","Uszyce","46310","Gorzów Śląski","11-03-08"
"368","188","opolski","Caritas Diecezji Opolskiej","Warsztat Terapii Zajęciowej","Piastowska 28","Stare Siołkowice","46083","Stare Siołkowice","09-03-06"
"369","190","strzelecki","Zgromadzenie Braci Szkół Chrześcijańskich ","Warsztat Terapii Zajęciowej","Czarna 2","Zawadzkie","47120","Zawadzkie","01-03-06"
"370","191","Opole","Fundacja ""Dom Rodzinnej Rehabilitacji Dzieci z Porażeniem Mózgowym"".","Warsztat Terapii Zajęciowej","Mieleckiego 4 A","Opole","45115","Opole","05-16-97"
"371","192","bieszczadzki","Stowarzyszenie Wprowadzać w Świat","Warsztat Terapii Zajęciowej","Gombrowicza 37","Ustrzyki Dolne","38700","Ustrzyki Dolne","12-20-09"
"372","193","brzozowski","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Inetelktualną Koło w Haczowie","Warsztat Terapii Zajęciowej ","","Haczów","36213","Haczów","12-22-02"
"373","193","brzozowski","Gmina Brzozów","Warsztat Terapii Zajęciowej ","","Stara Wieś","36200","Brzozów","12-20-01"
"374","194","dębicki","Parafia Rzymsko-Katolicka pw. Podwyższenia Krzyża Świętego w Brzostku","Warsztat Terapii Zajęciowej","Szkolna 23","Brzostek","39230","Brzostek","01-01-06"
"375","194","dębicki","Stowarzyszenie Rodziców i Przyjaciół Osób Niepełnosprawność ""RADOŚĆ""","Warsztat Terapii Zajęciowej "," Sienkiewicza 1","Dębica","39200","Dębica","12-31-07"
"376","194","dębicki","Stowarzyszenie Rodziców i Przyjaciół Osób Niepełnosprawnych ""RADOŚĆ""","Warsztat Terapii Zajęciowej ","","Bobrowa Wola 22","39203","Nagoszyn","12-29-10"
"377","195","jarosławski","Polskie Stowarzyszenie na rzecz Osób z Niepełnosprawnością Intelektualną Koło w Jarosławiu","Warsztat Terapii Zajęciowej ","3-go Maja 39","Jarosław","37500","Jarosław","05-01-00"
"378","196","jasielski","Specjalny Ośrodek Szkolno-Wychowawczy im. Janusza Korczaka w Jaśle","Warsztat Terapii Zajęciowej ","Floriańska 170","Jasło","38200","Jasło","05-02-03"
"379","197","kolbuszowski","Caritas Diecezji Rzeszowskiej","Warsztat Terapii Zajęciowej ","Tyszkiewiczów 3","Kolbuszowa","36100","Kolbuszowa","12-23-08"
"380","198","krośnieński","Polskie Stowarzyszenie na Rzecz Osób z Upośledzeniem Umysłowym Koło w Rymanowie","Warsztat Terapii Zajęciowej ","Dworska 40","Rymanów","38480","Rymanów","12-31-01"
"381","199","leski","Stowarzyszenie Rodziców Dzieci Specjalnej Troski w Lesku","Warsztat Terapii Zajęciowej w Huzelach","","Huzele 110","38600","Huzele","11-30-03"
"382","200","leżajski","Caritas Archidiecezji Przemyskiej Oddział Leżajsk","Warsztat Terapii Zajęciowej ","Jarosławska 4","Leżajsk","37300","Leżajsk","02-02-05"
"383","201","lubaczowski","Stowarzyszenie na rzecz Osób Niepełnosprawnych ""Razem""","Warsztat Terapii zajęciowej im. sw. Józefa","Zielona 1","Oleszyce","37630","Oleszyce","12-23-18"
"384","202","łańcucki","Stowarzyszenie Przyjaciół Młodzieży Specjalnej Troski w Łańcucie","Warsztat Terapii Zajęciowej","","Białobrzegi","37114","Białobrzegi","06-02-05"
"385","203","mielecki","Miejski Ośrodek Pomocy Społecznej w Mielcu","Warsztat Terapii Zajęciowej","Kocjana 15","Mielec","39300","Mielec","08-04-98"
"386","204","niżański","Caritas Diecezji Sandomierskiej","Warsztat Terapii Zajęciowej","Rzeszowska","Rudnik nad Sanem","37420","Rudnik nad Sanem","10-17-10"
"387","205","przemyski","Polskie Towarzystwo Walki z Kalectwem Oddział w Przemyślu","Warsztat Terapii Zajęciowej ","","Korytniki 14","37741","Krasiczyn","12-06-07"
"388","206","przeworski","Fundacja Pomocy Młodzieży im.św.J.Pawła II „Wzrastanie” w Lipniku z/s w Łopuszce Małej","Warsztat Terapii Zajęciowej ","Kasztanowa 1","Przeworsk","37200","Przeworsk","01-25-04"
"389","207","ropczycko-sędziszowski","Caritas Diecezji Rzeszowskiej","Warsztat Terapii Zajęciowej Caritas Diecezji Rzeszowskiej","Mickiewicza 59","Ropczyce","39100","Ropczyce","12-16-07"
"390","207","ropczycko-sędziszowski","Urząd Gminy Wielopole Skrzyńskie","Warsztat Terapii Zajęciowej w Wielopolu Skrzyńskim","","Wielopole Skrzyńskie","39110","Wielopole Skrzyńskie","12-21-15"
"391","208","rzeszowski","Polskie Stowarzyszenie Młodzież Sprawna Inaczej","Warsztat Terapii Zajęciowej ","","Zgłobień 69","36046","Zgłobień ","11-03-00"
"392","209","sanocki","Stowarzyszenie ""ŚWIETLIK""","Warsztat Terapii Zajęciowej Stowrzyszenia ""Świetlik""","Zielona 1","Sanok","38500","Sanok","02-02-21"
"393","209","sanocki","Stowarzyszenie na Rzecz Osób Niepełnosprawnych ""PROGRES"" w Sanoku","Warsztat Terapii Zajęciowej Stowarzyszenia na Rzecz Osób Niepełnosprawnych ""PROGRES""","Robotnicza 19","Sanok","38500","Sanok","01-26-98"
"394","210","stalowowolski","Miejski Ośrodek Pomocy Społecznej ","Warsztat Terapii Zajęciowej ","Podleśna 2","Stalowa Wola ","37450","Stalowa Wola ","01-18-00"
"395","210","stalowowolski","Stowarzyszenie na Rzecz Osób Szczególnej Troski ""Nadzieja""","Warsztat Terapii Zajęciowej ","Hutnicza 14","Stalowa Wola","37450","Stalowa Wola ","12-23-07"
"396","210","stalowowolski","Stowarzyszenie na Rzecz Dzieci i Młodzieży Niepełnosprawnej ""Szansa""","Warsztat Terapii Zajęciowej  ","Czarnieckiego1","Stalowa Wola","37450","Stalowa Wola","12-25-07"
"397","211","strzyżowski","Caritas Diecezji Rzeszowskiej","Warsztat Terapii Zajęciowej","","Różanka 100","38102","Grodzisko","10-17-05"
"398","212","tarnobrzeski","Ośrodek Pomocy Społecznej w Gorzycach","Warsztat Terapii Zajęciowej","11 Listopada 12","Gorzyce","39432","Gorzyce","12-16-10"
"399","212","tarnobrzeski","Miejsko-Gminny Ośrodek Pomocy Społecznej ","Warsztat Terapii Zajęciowej","Zamkowa 24","Baranów Sandomierski","39450","Baranów Sandomierski","09-16-03"
"400","213","Krosno","Polskie Stowarzyszenie na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w Krośnie","Warsztat Terapii Zajęciowej ","Grodzka 49","Krosno","38400","Krosno","09-02-96"
"401","214","Przemyśl","Stowarzyszenie Wspierania Osób Niepełnosprawnych Intelektualnie","Warsztat Terapii Zajęciowej SWONI","Lelewela 8A","Przemyśl","37700","Przemyśl","11-01-07"
"402","214","Przemyśl","Przemyski Klub Sportu i Rekreacji Niewidomych i Słabowidzących PODKARPACIE","WTZ w Przemyskim Klubie Sportu i Rekreacji Niewidomych i Słabowidzących PODKARPACIE","Słowackiego 85","Przemyśl","37700","Przemyśl","07-04-97"
"403","214","Przemyśl","Polskie Towarzystwo Walki z Kalectwem Oddział w Przemyślu","Warsztat Terapii Zajeciowej w Przemyślu","Sobótki 23","Przemyśl","37700","Przemyśl","12-18-16"
"404","215","Rzeszów","Caritas Diecezji Rzeszowskiej","Warsztat Terapii Zajęciowej ","Krakowska 18","Rzeszów","35111","Rzeszów","09-17-00"
"405","215","Rzeszów","Dom Pomocy Społecznej ","Warsztat Terapii Zajęciowej ","Załęska 7A","Rzeszów","35322","Rzeszów","09-28-99"
"406","216","Tarnobrzeg","Polskie Stowarzyszenie Na Rzecz Osób z Niepełnosprawnością Intelektualną Koło w Tarnobrzegu","Warsztat Terapii Zajęciowej","Al. Niepodległości 2","Tarnobrzeg","39400","Tarnobrzeg","05-15-97"
"407","216","Tarnobrzeg","Parafia Matki Bożej Nieustającej Pomocy ","Warsztat Terapii Zajęciowej","Sandomierska 24","Tarnobrzeg","39400","Tarnobrzeg","08-28-97"
"408","217","augustowski","Stowarzyszenie na Rzecz Osób Niepełnosprawnych WTZ w Augustowie","Stowarzyszenie na Rzecz Osób Niepełnopsrawnych WTZ w Augustowie","Portowa 12","Augustów","16300","Augustów","12-02-97"
"409","218","białostocki","Podlaskie Stowarzyszenie Sportowe Osób Niepełnosprawnych „START”","Warsztat Terapii Zajęciowej","Białostocka 62","Ogrodniczki","16030","Supraśl","10-02-99"
"410","218","białostocki","Stowarzyszenie Osób Niepełnosprawnych „RAZEM”","Warsztat Terapii Zajęciowej","Czajkowskiego 9","Czarna Białostocka","16020","Czarna Białostocka","04-27-06"
"411","218","białostocki","Fundacja Nowa Wola","Warsztat Terapii Zajęciowej","","Nowa Wola","16050","Michałowo","12-02-14"
"412","219","bielski (podlaski)","Caritas Diecezji Drohoczyńskiej","Warsztat Terapii Zajęciowej","Żwirki i Wigury 4","Bielsk Podlaski","17100","Bielsk Podlaski","12-30-14"
"413","220","grajewski","Stowarzyszenie Wspierania Inicjatyw Społecznych Na Rzecz Osób Niepełnosprawnych","Warsztat Terapii Zajęciowej","Os. Południe 61","Grajewo","19200","Grajewo","02-02-05"
"414","221","hajnowski","Parafia pw. Św. Trójcy","Warsztat Terapii Zajęciowej","3-go Maja 63","Hajnówka","17200","Hajnówka","12-02-08"
"415","222","kolneński","Fundacja Vita Familiae","Warsztat Terapii Zajęciowej","Wojska Polskiego 48","Kolno","18500","Kolno","12-09-09"
"416","223","łomżyński","Stowarzyszenie Rodzice Dzieciom Troski Specjalnej","Warsztat Terapii Zajęciowej","","Marianowo 5","18421","Piątnica","12-02-03"
"417","224","moniecki","Caritas Archdiecezji Białostockiej","Warsztat Terapii Zajęciowej","Al. Niepodległości 3","Mońki","19100","Mońki","12-21-09"
"418","225","sejneński","Regionalne Stowarzyszenie na Rzecz Osób Niepełnosprawnych","Warsztat Terapii Zajęciowej","1 Maja 2","Sejny","16500","Sejny","01-02-06"
"419","226","siemiatycki","Dom Zakonny Zgromadzenia Sióstr Karmelitanek Dzieciątka Jezus","Warsztat Terapii Zajęciowej","Bartosza  Głowackiego 2","Siemiatycze","17300","Siemiatycze","12-21-09"
"420","226","siemiatycki","Stowarzyszenie Pomocy ""Szansa""","Warsztat Terapii Zajęciowej","","Dołubowo 35","17306","Dziadkowice","12-29-13"
"421","227","sokólski","Stowarzyszenie na Rzecz Osób Niepełnosprawnych ""Razem""","Warsztat Terapii Zajęciowej","Piłsudskiego 5","Sokółka","16100","Sokółka","11-27-00"
"422","227","sokólski","Stowarzyszenie na Rzecz Osób Niepełnosprawnych ""Radość Życia""","Warsztat Terapii Zajęciowej","Gen. Sulika 1","Dąbrowa Białostocka","16200","Dąbrowa Białostocka","12-11-03"
"423","228","suwalski","Fundacja Rozwoju Przedsiębiorczości","Warsztat Terapii Zajęciowej","Stefa Batorego","Filipów","16424","Filipów","02-02-02"
"424","229","wysokomazowiecki","Stowarzyszenie na rzecz Osób Niepełnosprawnych ""Natura""","Warsztat Terapii Zajęciowej","Pl. Ks. K. Kluka 4","Ciechanowiec","18230","Ciechanowiec","12-16-10"
"425","229","wysokomazowiecki","Stowarzyszenie Pomocy ""SZANSA""","Warsztat Terapii Zajęciowej","","Stare Racibory","18218","Sokoły","12-28-10"
"426","230","zambrowski","Prowincja Siedlecka Zgromadzenia Sióstr Służek NMP Niepokalanej","Warsztat Terapii Zajęciowej","Cmentarna","Szumowo","18305","Szumowo","12-01-10"
"427","231","Białystok","Fundacja AC","Warsztat Terapii Zajęciowej","Storczykowa 7","Białystok","15644","Białystok","05-05-97"
"428","231","Białystok","Caritas Archidiecezji Białostockiej","Warsztat Terapii Zajęciowej","Knyszyńska 12a","Białystok","15702","Białystok","12-28-99"
"429","231","Białystok","Stowarzyszenie ""MY DLA INNYCH""","Warsztat Terapii Zajęciowej","Transportowa 4","Białystok","15399","Białystok","01-01-08"
"430","231","Białystok","Spółdzielnia SNB","Warsztat Terapii Zajęciowej","Kraszewskiego 26/2","Białystok","15025","Białystok","08-03-97"
"431","232","Łomża","Zakłady Spożywcze ""BONA"" Sp. z o.o.","Warsztat Terapii Zajęciowej przy Zakładach Spożywczych ""BONA"" sp. z o.o.","Bernatowicza 3","Łomża","18400","Łomża","09-16-99"
"432","233","Suwałki","Towarzystwo  Przyjaciół Dzieci","Warsztat Terapii Zajęciowej","Utrata 9","Suwałki","16400","Suwałki","08-02-99"
"433","234","bytowski","Stowarzyszenie ""Jesteśmy"" ","Warsztat Terapii Zajęciowej ""Jesteśmy""","Szarych Szeregów 13","Bytów","77100","Bytów","01-02-06"
"434","235","chojnicki","Stowarzyszenie Rodziców i Opiekunów Działających Na Rzecz Dzieci i Młodzieży Niepełnosprawnej","Warsztat Terapii Zajęciowej","Pomorska 10","Czersk","89650","Czersk","03-13-05"
"435","235","chojnicki","Polskie Stowarzyszenie na rzecz Osób z Niepełnosprawnością Intelektualną Koło w Chojnicach","Warsztat Terapii Zajęciowej","Przemysłowa 3a","Chojnice","89620","Chojnice","12-02-07"
"436","235","chojnicki","Stowarzyszenie Na Rzecz Osób Niepełnosprawnych ""Ty i Ja""","Warsztat Terapii Zajęciowej","Armii Krajowej 1","Brusy","89632","Brusy","12-02-13"
"437","236","człuchowski","Powiat Człuchowski","Warsztat Terapii Zajęciowej ""Promyk""","Zamkowa 19","Czarne","77330","Czarne","10-01-08"
"438","237","gdański","Polskie Stowarzyszenie na Rzecz Osób z Upośledzeniem Umysłowym","Warsztat Terapii Zajęciowej","Grunwaldzka 71c","Pruszcz Gdański","83000","Pruszcz Gdański","12-02-08"
"439","237","gdański","Fundacja ""Żyć godnie""","Warsztat Terapii Zajęciowej","Dębowa 4","Kolnik","83032","Pszczółki","09-16-08"
"440","237","gdański","Caritas Archidiecezji Gdańskiej","Warsztat Terapii Zajęciowej","Sienkiewicza 50","Łapino Dolne","83050","Kolbudy","01-02-04"
"441","237","gdański","Caritas Archidiecezji Gdańskiej","Warsztat Terapii Zajęciowej","Krzywe Koło 36","Krzywe Koło","83022","Suchy Dąb","02-02-04"
"442","238","kartuski","Gmina Chmielno","Warsztat Terapii Zajęciowej","Garncarska 1","Chmielno","83333","Chmielno","03-02-12"
"443","238","kartuski","Gmina Somonino","Warsztat Terapii Zajęciowej","Osiedlowa 17","Somonino","83314","Somonino","08-02-08"
