L.p.;NAZWA URZĘDU;WOJEWÓDZTWO;POWIAT;MIEJSCOWOŚĆ;ULICA;NR DOMU;KOD POCZTOWY;NR TELEFONU wraz z nr kierunkowym;NR TELEFONU 2 wraz z nr kierunkowym;NR FAXU        wraz z nr kierunkowym;NR FAXU 2       wraz z nr kierunkowym;ADRES E-MAIL URZĘDU;ADRES 2 E-MAIL URZĘDU;ADRES WWW URZĘDU;SZEROKOŚĆ GEOGRAFICZNA;DŁUGOŚĆ GEOGRAFICZNA
1013.;Komenda Powiatowa Państwowej Straży Pożarnej w Sanoku;podkarpackie ;sanocki;Sanok;W. Witosa ;60;38-500;13 465 89 00;;13 465 89 10;;kpsanok@podkarpacie.straz.pl;;https://www.gov.pl/web/kppsp-sanok;49,5718;22,1668
1014.;Komenda Powiatowa Państwowej Straży Pożarnej w Stalowej Woli;podkarpackie ;stalowowolski ;Stalowa Wola;Jana Pawła II ;27;37-450;15 842 65 11;;15 842 65 11;;kpstwola@podkarpacie.straz.pl;;https://www.gov.pl/web/kppsp-stalowa-wola;50,5772;22,0591
1015.;Komenda Powiatowa Państwowej Straży Pożarnej w Strzyżowie;podkarpackie ;strzyżowski;Strzyżów;Sportowa ;20;38-100;17 276 10 01;;17 276 12 40;;kpstrzyzow@podkarpacie.straz.pl;;https://www.gov.pl/web/kppsp-strzyzow;49,8768;21,7737
1016.;Komenda Miejska Policji w Rzeszowie;podkarpackie ;miasto na prawach powiatu (m. Rzeszów);Rzeszów;Jagiellońska ;13;35-959;47 821 33 10;;47 821 33 19;;kmp.rzeszow@rz.policja.gov.pl;;http://bip.rzeszow.kmp.policja.gov.pl/;50,0351;21,9984
1017.;Komenda Miejska Policji w Przemyślu;podkarpackie ;miasto na prawach powiatu (m. Przemyśl);Przemyśl;Bohaterów Getta ;1;37-700;47 823 33 99;;47 823 33 19;;kmp.przemysl@rz.policja.gov.pl;;http://bip.przemysl.kmp.policja.gov.pl/;49,7866;22,7799
1018.;Komenda Miejska Policji w Tarnobrzegu;podkarpackie ;miasto na prawach powiatu (m. Tarnobrzeg);Tarnobrzeg;1 maja ;2;39-400;47 825 33 99;;47 825 33 19;;kmp.tarnobrzeg@rz.policja.gov.pl;;http://bip.tarnobrzeg.kmp.policja.gov.pl/;50,5717;21,6656
1019.;Komenda Miejska Policji w Krośnie;podkarpackie ;miasto na prawach powiatu (m. Krosno);Krosno;Lwowska ;28;38-400;47 828 33 13;;47 828 33 19;;kmp.krosno@rz.policja.gov.pl;;http://bip.krosno.kmp.policja.gov.pl/;49,684;21,7705
1020.;Komenda Powiatowa Policji w Ustrzykach Dolnych;podkarpackie ;bieszczadzki;Ustrzyki Dolne;29 listopada ;33;38-700;47 829 43 99  ;; 47 829 43 19;;ustrzyki-dolne@rz.policja.gov.pl;;http://bip.ustrzykidolne.kpp.policja.gov.pl/;49,4316;22,5996
1021.;Komenda Powiatowa Policji w Brzozowie;podkarpackie ;brzozowski;Brzozów;Witosa ;9;36-200;13 430 83 10;;13 430 83 19;;brzozow@rz.policja.gov.pl;;http://bip.brzozow.kpp.policja.gov.pl/;49,7061;22,0257
1022.;Komenda Powiatowa Policji w Dębicy;podkarpackie ;debicki;Dębica;Chłodnicza ;20;39-200;14 670 63 10;;14 670 63 19;;debica@rz.policja.gov.pl;;http://bip.debica.kpp.policja.gov.pl/;50,0579;21,3949
1023.;Komenda Powiatowa Policji w Jarosławiu;podkarpackie ;jaroslawaki;Jarosław;Poniatowskiego ;50;37-500;47  824 13 10;;47  824 13 19;;jaroslaw@rz.policja.gov.pl;;http://bip.jaroslaw.kpp.policja.gov.pl/;50,0121;22,6789
1024.;Komenda Powiatowa Policji w Jaśle;podkarpackie ;jasielski;Jasło;Tadeusza Sroczyńskiego;7;38-200;47 829 53 10;;47 829 53 19;;jaslo@rz.policja.gov.pl;;http://bip.jaslo.kpp.policja.gov.pl/;49,7523;21,4885
1025.;Komenda Powiatowa Policji w Kolbuszowej;podkarpackie ;kolbuszowski;Kolbuszowa;Plac Wolności ;1;36-100;47 822 13 10;;47 822 13 19;;kolbuszowa@rz.policja.gov.pl;;http://bip.kolbuszowa.kpp.policja.gov.pl/;50,2438;21,7769
1026.;Komenda Powiatowa Policji w Lesku;podkarpackie ;leski;Lesko;Przemysłowa;24;38-600;47 82 923 99;;47 82 923 19;;lesko@rz.policja.gov.pl;;http://bip.lesko.kpp.policja.gov.pl/;49,4834;22,33
1027.;Komenda Powiatowa Policji w Leżajsku;podkarpackie ;leżajski;Leżajsk;Marii Curie-Skłodowskiej ;2;37-300;47 822 23 99;;47 822 23 19;;lezajsk@rz.policja.gov.pl;;http://bip.lezajsk.kpp.policja.gov.pl/;50,2614;22,416
1028.;Komenda Powiatowa Policji w Lubaczowie;podkarpackie ;lubaczowski ;Lubaczów;Słowackiego ;14;37-600;478 242 310;;478 242 319;;lubaczow@rz.policja.gov.pl;;http://bip.lubaczow.kpp.policja.gov.pl/;50,1606;23,1266
1029.;Komenda Powiatowa Policji w Łańcucie;podkarpackie ;łańcucki;Łańcut;Traugutta ;13A;37-100;47 82 233 10;;47 82 233 19;;lancut@rz.policja.gov.pl;;http://bip.lancut.kpp.policja.gov.pl/;50,0602;22,2306
1030.;Komenda Powiatowa Policji w Mielcu;podkarpackie ;mielecki;Mielec;Wyspiańskiego ;8;39-300;17 584 53 99;;17 584 53 09;;mielec@rz.policja.gov.pl;;http://bip.mielec.kpp.policja.gov.pl/;50,2907;21,4388
1031.;Komenda Powiatowa Policji w Nisku;podkarpackie ;niżański ;Nisko;Sandomierska ;6;37-400;47 826 33 10  ;;47 826 33 19;;nisko@rz.policja.gov.pl;;http://bip.nisko.kpp.policja.gov.pl/;50,5206;22,1382
1032.;Komenda Powiatowa Policji w Przeworsku;podkarpackie ;przeworski ;Przeworsk;Stepkiewicza ;1;37-200;16 641 23 10;;16 641 23 19;;przeworsk@rz.policja.gov.pl;;http://bip.przeworsk.kpp.policja.gov.pl/;50,0582;22,4965
1033.;Komenda Powiatowa Policji                                w Ropczycach;podkarpackie ;ropczycko-sędziszowski;Ropczyce;Piłsudskiego ;22;39-100;47 822 43 10;;47 822 43 19;;ropczyce@rz.policja.gov.pl;;http://bip.ropczyce.kpp.policja.gov.pl/;50,0599;21,6025
1034.;Komenda Powiatowa Policji w Sanoku;podkarpackie ;sanocki;Sanok;Witkiewicza ;3;38-500;13 465 73 10;;13 465 73 19;;sanok@rz.policja.gov.pl;;http://bip.sanok.kpp.policja.gov.pl/;49,5592;22,2192
1035.;Komenda Powiatowa Policji w Stalowej Woli;podkarpackie ;stalowowolski ;Stalowa Wola;Ks. J. Popiełuszki ;24;37-450;47 826 13 10;;47 826 13 19;;stalowa-wola@rz.policja.gov.pl;;http://bip.stalowawola.kpp.policja.gov.pl/;50,567;22,0562
1036.;Komenda Powiatowa Policji w Strzyżowie;podkarpackie ;strzyżowski;Strzyżów;Andersa ;2;38-100;47 822 53 10;;47 822 53 19;;strzyzow@rz.policja.gov.pl;;http://bip.strzyzow.kpp.policja.gov.pl/;49,8687;21,7851
1037.;Powiatowy Inspektorat Nadzoru Budowlanego dla miasta Rzeszów;podkarpackie ;miasto na prawach powiatu (m. Rzeszów);Rzeszów;Bardowskiego ;2;35-005;17 748 43 50;;17 748 43 50;;pinb@pinb.erzeszow.pl;;https://bip.erzeszow.pl/pl/309-powiatowy-inspektorat-nadzoru-budowlanego.html;50,0419;22,0085
1038.;Powiatowy Inspektorat Nadzoru Budowlanego dla miasta Przemyśl;podkarpackie ;miasto na prawach powiatu (m. Przemyśl);Przemyśl;Siemiradzkiego ;5;37-700;16 678 91 61;;16 678 91 61;;pinb@mprzemysl.pl;;http://www.pinb.mprzemysl.pl/;49,7805;22,7893
1039.;Powiatowy Inspektorat Nadzoru Budowlanego dla miasta Tarnobrzeg;podkarpackie ;miasto na prawach powiatu                           (m. Tarnobrzeg);Tarnobrzeg;Kościuszki ;30;39-400;15 822 68 64;;15 822 68 64;;pinbmt@intria.pl;;http://pinbmt.pl;50,5724;21,6701
1040.;Powiatowy Inspektorat Nadzoru Budowlanego dla miasta Krosno;podkarpackie ;miasto na prawach powiatu (m. Krosno);Krosno;Bieszczadzka ;1;38-400;13 420 20 50;;13 420 20 50;;pinbkrosno@gmail.com;;http://pinb.umkrosno.pl/;49,6787;21,7745
1041.;Powiatowy Inspektorat Nadzoru Budowlanego w Ustrzykach Dolnych;podkarpackie ;bieszczadzki;Ustrzyki Dolne;Pionierska ;10;38-700;13 471 16 76;;13 471 16 75;;ustrzykidolne@pinb.info.pl;;http://ustrzykidolne.pinb.pl/;49,4329;22,5858
1042.;Powiatowy Inspektorat Nadzoru Budowlanego w Brzozowie;podkarpackie ;brzozowski;Brzozów;Moniuszki;17;36-200;13 434 22 83;;13 434 22 83;;pinb.brzozow@op.pl;;http://www.pinb-brzozow.internetdsl.pl/;49,6922;22,0087
1043.;Powiatowy Inspektorat Nadzoru Budowlanego w Dębicy;podkarpackie ;dębicki;Dębica;Parkowa ;2;39-200;14 683 40 30;;14 683 40 30;;pinbdebica@interia.pl;;http://www.pinbdebica.pl/;50,046;21,4031
1044.;Powiatowy Inspektorat Nadzoru Budowlanego w Jarosławiu;podkarpackie ;jarosławski;Jarosław;Poniatowskiego ;6;37-500;16 624 26 78;;16 624 26 79;;pinbjaroslaw@op.pl;;http://www.pinbjaroslaw.pl/;50,0146;21,403
1045.;Powiatowy Inspektorat Nadzoru Budowlanego w Jaśle;podkarpackie ;jasielski;Jasło;Kochanowskiego;3;38-200;13 448 20 76;;13 448 20 76;;jaslopinb@wp.pl;;http://pinb-jaslo.bip.gov.pl/;49,7417;21,4756
1046.;Powiatowy Inspektorat Nadzoru Budowlanego w Kolbuszowej;podkarpackie ;kolbuszowski;Kolbuszowa;11 listopada ;10;36-100;17 227 58 20;;17 227 57 21;;pinb.kolbuszowa@interia.pl;;http://bip.powiat.kolbuszowa.pl/bip_kolbuszowa/index.jsp?place=Menu02&news_cat_id=21&layout=1&page=0;50,2463;21,7826
1047.;Powiatowy Inspektorat Nadzoru Budowlanego w Krośnie;podkarpackie ;krośnieński;Krosno;Bieszczadzka ;1;38-400;13 437 57 82;;13 437 57 82;;pinbkrosno@op.pl;;http://bip.zetorzeszow.pl/pinbkrosno/;49,6787;21,7745
1048.;Powiatowy Inspektorat Nadzoru Budowlanego w Lesku;podkarpackie ;leski;Lesko;Wincentego Pola ;1;38-600;13 469 71 48;;13 492 72 77;;pinblesko@op.pl;;pinb@powiat-leski.pl;49,4711;22,3297
1049.;Powiatowy Inspektorat Nadzoru Budowlanego w Leżajsku;podkarpackie ;leżajski;Leżajsk;M.C. Skłodowskiej;8;37-300;17 242 07 37 wew. 21;;17 242 07 37 wew. 26;;lezajsk@pinb.info.pl;;http://lezajsk.pinb.info.pl;50,2614;22,4124
1050.;Powiatowy Inspektorat Nadzoru Budowlanego w Lubaczowie;podkarpackie ;lubaczowski ;Lubaczów;Mickiewicza ;45;37-600;16 632 28 28;;16 736 20 83;;pinb.lubaczow@poczta.fm;;https://pinblubaczow.bip.gov.pl/;50,1611;23,1211
1051.;Powiatowy Inspektorat Nadzoru Budowlanego w Łańcucie;podkarpackie ;łańcucki;Łańcut;Piłsudskiego ;9;37-100;17 225 69 67;;17 225 69 67;;pinb lancut@o2.pl;;https://pinblancut.bip.gov.pl/;50,0661;22,2288
1052.;Powiatowy Inspektorat Nadzoru Budowlanego w Mielcu;podkarpackie ;mielecki;Mielec;Wyspiańskiego ;6;39-300;17 780 05 63;;17 788 62 00;;biuro@pinb.mielec.pl;;http://pinb.mielec.pl/;50,2912;21,438
1053.;Powiatowy Inspektorat Nadzoru Budowlanego w Nisku;podkarpackie ;niżański ;Nisko;3-go Maja ;32C;37-400;15 841 45 62;;15 841 45 62;;pinbnisko18@tlen.pl;;http://www.pinb.powiat-nisko.pl/;50,5186;22,1407
1054.;Powiatowy Inspektorat Nadzoru Budowlanego w Przemyślu;podkarpackie ;przemyski;Przemyśl;Pl. Dominikański ;3;37-700;16 678 50 54 wew. 157;;16 678 50 54 wew. 159;;kontakt@pinbprzemysl.pl;;https://pinbprzemysl.pl/;49,7826;22,7676
1055.;Powiatowy Inspektorat Nadzoru Budowlanego w Przeworsku;podkarpackie ;przeworski ;Przeworsk;Lwowska ;16;37-200;16 648 31 11;;16 648 31 11;;przeworsk@pinb.info.pl;;http://przeworsk.pinb.info.pl/;50,0579;22,4971
1056.;Powiatowy Inspektorat Nadzoru Budowlanego w Ropczycach;podkarpackie ;ropczycko-sędziszowski;Ropczyce;Konopnickiej ;5;39-100;17 222 89 41;;17 222 89 40;;pinb@spropczyce.pl;;http://bip.spropczyce.pl/;50,0522;21,6164
1057.;Powiatowy Inspektorat Nadzoru Budowlanego w Rzeszowie;podkarpackie ;rzeszowski;Rzeszów;Batorego ;9;35-005;17 862 62 68;;17 862 62 17;;pinb@powiat.rzeszow.pl;;https://bip.powiat.rzeszow.pl/?c=mdTresc-cmPokaz-1738#POWIATOWY%20INSPEKTORAT%20NADZORU%20BUDOWLANEGO%20W%20RZESZOWIE;50,0411;22,0099
1058.;Powiatowy Inspektorat Nadzoru Budowlanego w Sanoku;podkarpackie ;sanocki;Sanok;Al. Wojska Polskiego ;74;38-500;13 464 19 72;;13 464 19 72;;sekretariat@pinb.sanok.pl;;http://pinb.sanok.pl/;49.5564;22.2157
1059.;Powiatowy Inspektorat Nadzoru Budowlanego w Stalowej Woli;podkarpackie ;stalowowolski ;Stalowa Wola;Podleśna ;15;37-450;15 643 36 71;;15 643 37 06;;pinbsw@wp.pl;;http://www.pinbsw.pl/;50,5683;22,0481
1060.;Powiatowy Inspektorat Nadzoru Budowlanego w Strzyżowie;podkarpackie ;strzyżowski;Strzyżów;Przecławczyka ;15;38-100;17 276 03 80;;17 276 03 80;;pinbstrzyzow@op.pl;;http://strzyzow.pinb.pl/;49,8696;21,7887
1061.;Powiatowy Inspektorat Nadzoru Budowlanego w Tarnobrzegu;podkarpackie ;tarnobrzeski;Tarnobrzeg;1-go Maja ;4;39-400;15 822 27 73;;15 822 27 73;;pinbwtbg@vp.pl;;http://tarnobrzeg.pinb.pl/;50,5711;21,665
1062.;Wojewódzka Stacja Sanitarno-Epidemiologiczna Oddział LAB                                     w Przemyślu;podkarpackie ;przemyski ;Przemyśl;Mariacka ;4;37-700;16 678 88 58;;16 678 85 58;;przemysl@wsse.rzeszow.pl;;https://www.gov.pl/web/wsse-rzeszow/laboratoria-pis;49,7842;22,7904
1063.;Wojewódzka Stacja Sanitarno-Epidemiologiczna Oddział LAB                       w Tarnobrzegu ;podkarpackie ;tarnobrzeski;Tarnobrzeg;1- Maja ;5;39-400;15 823 44 10;;15 823 44 52;;tarnobrzeg@wsse.rzeszow.pl;;https://www.gov.pl/web/wsse-rzeszow/laboratoria-pis;50,5697;21,6655
1064.;Wojewódzka Stacja Sanitarno-Epidemiologiczna Oddział LAB w Sanoku;podkarpackie ;sanocki;Sanok;Jezierskiego ;39;38-500;13 463 39 23;;13 464 57 65;;sanok@wsse.rzeszow.pl;;https://www.gov.pl/web/wsse-rzeszow/laboratoria-pis;49,5505;22,2008
1065.;Regionalne Laboratorium Badań Żywności Genetycznie Modyfikowanej;podkarpackie;tarnobrzeski;Tarnobrzeg;1-Maja ;5;39-400;15 823 44 10;;15 823 44 52;;gmo@wsse.rzeszow.pl;;http://www.wsse.rzeszow.pl/;50,5697;21,6655
1066.;Powiatowa Stacja Sanitarno-Epidemiologiczna Brzozów;podkarpackie ;brzozowski;Brzozów;Moniuszki ;17;36-200;13 434 14 59;;13 434 14 59;;psse.brzozow@pis.gov.pl;;https://www.gov.pl/web/psse-brzozow;49,6923;22,0087
1067.;Powiatowa Stacja Sanitarno-Epidemiologiczna Dębica ;podkarpackie ;dębicki;Dębica;Parkowa ;2;39-200;14 680 93 70;;14 680 93 71;;psse.debica@pis.gov.pl;;https://www.gov.pl/web/psse-debica;50,047;21,4023
1068.;Powiatowa Stacja Sanitarno-Epidemiologiczna Jarosław;podkarpackie ;jarosławski;Jarosław;Grunwaldzka ;7;37-500;16 624 24 40;;16 621 25 18;;psse.jaroslaw@pis.gov.pl;;https://www.gov.pl/web/psse-jaroslaw;50,0164;22,6801
1069.;Powiatowa Stacja Sanitarno-Epidemiologiczna Jasło;podkarpackie ;jasielski;Jasło;Koralewskiego ;13;38-200;13 446 30 08 ;;13 446 34 66;;psse.jaslo@pis.gov.pl;;https://www.gov.pl/web/psse-jaslo;49,7473;21,4717
1070.;Powiatowa Stacja Sanitarno-Epidemiologiczna Kolbuszowa;podkarpackie ;kolbuszowski;Kolbuszowa;11-go Listopada;10;36-100;17 227 11 50;;17 227 11 50;;psse.kolbuszowa@pis.gov.pl;;https://www.gov.pl/web/psse-kolbuszowa;50,2463;21,7826
1071.;Powiatowa Stacja Sanitarno-Epidemiologiczna Krosno;podkarpackie ;krośnieński;Krosno;Kisielewskiego ;12;38 - 400;13 432 19 42;;13 432 19 45;;psse.krosno@pis.gov.pl;;https://www.gov.pl/web/psse-krosno;49,6837;21,7553
1072.;Powiatowa Stacja Sanitarno-Epidemiologiczna Leżajsk;podkarpackie ;leżajski;Leżajsk;Mickiewicza ;71;37-300;17 242 07 54;;17 240 18 44;;psse.lezajsk@pis.gov.pl;;https://www.gov.pl/web/psse-lezajsk;50,2631;22,4177
1073.;Powiatowa Stacja Sanitarno-Epidemiologiczna Lubaczów;podkarpackie ;lubaczowski ;Lubaczów;Mickiewicza ;45;37-600;16 632 15 28;;17 785 21 89;;psse.lubaczow@pis.gov.pl;;https://www.gov.pl/web/psse-lubaczow;50,1611;23,1211
1074.;Powiatowa Stacja Sanitarno-Epidemiologiczna Łańcut ;podkarpackie ;łańcucki;Łańcut;Mickiewicza ;6;37-100;17 225 00 70;;17 225 00 72;;psse.lancut@pis.gov.pl;;https://www.gov.pl/web/psse-lancut;50,0655;22,2293
1075.;Powiatowa Stacja Sanitarno-Epidemiologiczna Mielec;podkarpackie ;mielecki;Mielec;M.C.Skłodowskiej ;8;39-300;17 586 30 21;;17 586 30 21;;psse.mielec@pis.gov.pl;;https://www.gov.pl/web/psse-mielec;50,2961;21,444
1076.;Powiatowa Stacja Sanitarno-Epidemiologiczna Nisko ;podkarpackie ;niżański ;Nisko;Rudnicka ;13;37-400;15 841 20 10;;15 841 20 10;;psse.nisko@pis.gov.pl;;https://www.gov.pl/web/psse-nisko;50.5168;22.1572
1077.;Powiatowa Stacja Sanitarno-Epidemiologiczna Przeworsk;podkarpackie ;przeworski ;Przeworsk;Rynek ;1;37-200;16 648 75 95;;16 648 79 01;;psse.przeworsk@pis.gov.pl;;https://www.gov.pl/web/psse-przeworsk;50.0568;22.4945
1078.;Powiatowa Stacja Sanitarno-Epidemiologiczna Przemyśl;podkarpackie ;przemyski;Przemyśl;Mariacka ;4;37-700;16 670 76 91;;16 670 07 38 ;;psse.przemysl@pis.gov.pl;;https://www.gov.pl/web/psse-przemysl;49,7842;22,7904
1079.;Powiatowa Stacja Sanitarno-Epidemiologiczna Ropczyce;podkarpackie ;ropczycko-sędziszowski;Ropczyce;Mickiewicza ;57;39 - 100;17 221 83 21;;17 221 83 21 wew. 24;;psse.ropczyce@pis.gov.pl;;https://www.gov.pl/web/psse-ropczyce;50,0548;21,6212
1080.;Powiatowa Stacja Sanitarno-Epidemiologiczna Rzeszów;podkarpackie ;rzeszowski;Rzeszów;Dąbrowskiego ;79A;35 - 040;17 854 19 09;;17 854 19 09 wew. 110;;psse.rzeszow@pis.gov.pl;;https://www.gov.pl/web/psse-rzeszow;50,0235;21,9866
1081.;Powiatowa Stacja Sanitarno-Epidemiologiczna Sanok;podkarpackie ;sanocki;Sanok;Jezierskiego ;39;38-500;13 464 12 19;;13 464 12 19;;psse.sanok@pis.gov.pl;;https://www.gov.pl/web/psse-sanok;49,5505;22,2008
1082.;Powiatowa Stacja Sanitarno-Epidemiologiczna Stalowa Wola;podkarpackie ;stalowowolski ;Stalowa Wola;Niezłomnych ;66;37-450;15 842 51 30;;15 842 11 81;;psse.stalowawola@pis.gov.pl;;https://www.gov.pl/web/psse-stalowa-wola;50,5707;22,0484
1083.;Powiatowa Stacja Sanitarno-Epidemiologiczna Strzyżów;podkarpackie ;strzyżowski;Strzyżów;Słowackiego ;8;38-100;17 276 11 52;;17 276 11 52;;psse.strzyzow@pis.gov.pl;;https://www.gov.pl/web/psse-strzyzow/;49,8688;21,7885
1084.;Powiatowa Stacja Sanitarno-Epidemiologiczna Ustrzyki Dolne;podkarpackie ;bieszczadzki;Ustrzyki Dolne;29 Listopada ;53;38-700;13 461 28 06;;13 461 28-06;;psse.ustrzykidolne@pis.gov.pl;;https://www.gov.pl/web/psse-ustrzyki-dolne;49,4329;22,6029
1085.;Powiatowa Stacja Sanitarno-Epidemiologiczna Tarnobrzeg;podkarpackie ;tarnobrzeski;Tarnobrzeg;1-Maja ;5;39-400;15 822 63 18;;15 823 66 64;;psse.tarnobrzeg@pis.gov.pl;;https://www.gov.pl/web/psse-tarnobrzeg;50,5711;21,6654
1086.;Powiatowy Inspektorat Weterynarii                     w Brzozowie;podkarpackie ;brzozowski;Brzozów;Witosa ;4;36-200;13 434 12 25;;13 434 12 25;;brzozow.piw@wetgiw.gov.pl;;http://bip.piwbrzozow.pl/;49.7061;22.0241
1087.;Powiatowy Inspektorat Weterynarii                         w Dębicy;podkarpackie ;dębicki;Dębica;Kosynierów Racławickich ;16;39-200;14 681 82 42;;14 682 86 42;;debica.piw@wetgiw.gov.pl;;http://piwdebica.pl/;50,0653;21,4089
1088.;Powiatowy Inspektorat Weterynarii                      w Jarosławiu;podkarpackie ;jaroslawaki;Jarosław;Pruchnicka ;4;37-500;16 621 31 97;;16 621 31 97;;jaroslaw.piw@wetgiw.gov.pl;;http://piwjaroslaw.mojbip.pl/;50,0092;22,6745
1089.;Powiatowy Inspektorat Weterynarii w Jaśle;podkarpackie ;jasielski;Jasło;Floriańska ;92;38-200;13 446 43 21;;13 446 43 21;;piwjaslo@poczta.onet.pl;;http://piwjaslo.mojbip.pl/;49,7409;21,482
1090.;Powiatowy Inspektorat Weterynarii                      w Kolbuszowej;podkarpackie ;kolbuszowski;Kolbuszowa;11-go Listopada ;10;36-100;17 744 57 23;;17 744 57 23;;kolbuszowa.piw@wetgiw.gov.pl;;http://bip.piw.kolbuszowski.pl/;50,2463;21,7826
1091.;Powiatowy Inspektorat Weterynarii                       w Krośnie;podkarpackie ;krośnieński;Krosno;Grodzka ;26;38-400;13 436 96 11;;13 436 96 11;;krosno.miw@wetgiw.gov.pl;;http://piwkrosno.bip.gov.pl/;49,6875;21,7654
1092.;Powiatowy Inspektorat Weterynarii w Lesku;podkarpackie ;leski;Lesko;Stawowa ;29;38-600;13 469 83 00;;13 469 83 00;;lesko.piw@wetgiw.gov.pl;;http://piwlesko.mojbip.pl/;49,4847;22,3307
1093.;Powiatowy Inspektorat Weterynarii                     w Leżajsku;podkarpackie ;leżajski;Leżajsk;Plac Dworcowy;1;37-300;17 242 08 90;;17 242 64 14;;lezajsk.piw@wetgiw.gov.pl;;http://piw.bip.lezajsk.pl/;50,262;22,42
1094.;Powiatowy Inspektorat Weterynarii                      w Lubaczowie;podkarpackie ;lubaczowski ;Lubaczów;Mazury ;3;37-600;16 632 91 10;;16 632 46 63;;sekretariat@piw-lubaczow.pl;;http://piw-lubaczow.pl/;50,1482;23,1301
1095.;Powiatowy Inspektorat Weterynarii                  w Łańcucie;podkarpackie ;łańcucki;Łańcut;Cetnarskiego ;31;37-100;17 225 56 28;;17 225 86 55;;lancut.piw@wetgiw.gov.pl;;http://www.piwlancut.pl/;50,0682;22,2251
1096.;Powiatowy Inspektorat Weterynarii                  w Mielcu;podkarpackie ;mielecki;Mielec;M.C-Skłodowskiej ;8;39-300;17 583 04 20;;17 583 04 21;;mielec.piw@wetgiw.gov.pl;;http://piw.mielec.pl/;50,2961;21,444
1097.;Powiatowy Inspektorat Weterynarii w Nisku;podkarpackie ;niżański ;Racławice;Rudnicka ;13;37-400;15 841 21 28;;15 841 21 28;;nisko.piw@wetgiw.gov.pl;;http://www.piw.nisko.pl/;50.5168;22.1572
1098.;Powiatowy Inspektorat Weterynarii                      w Przemyślu;podkarpackie ;przemyski;Przemyśl;Lwowska ;7A;37-700;16 676 83 60;;16 678 42 59;;przemysl.miw@wetgiw.gov.pl;;http://piwprzemysl.mojbip.pl/;49,7836;22,7989
1099.;Powiatowy Inspektorat Weterynarii                 w Przeworsku;podkarpackie ;przeworski ;Przeworsk;Studziańska ;4;37-200;16 648 74 25;;16 648 74 25;;przeworsk.piw@wetgiw.gov.pl;;www.piwprzeworsk.ires.pl;50.0561;22.4749
1100.;Powiatowy Inspektorat Weterynarii                   w Ropczycach;podkarpackie ;ropczycko-sędziszowski;Ropczyce;Mickiewicza ;57a;39-100;17 221 89 81;;17 221 86 35;;sekretariat@piw-ropczyce.pl;;www.piw-ropczyce.pl;50,0548;21,6212
1101.;Powiatowy Inspektorat Weterynarii                    w Rzeszowie;podkarpackie ;rzeszowski;Rzeszów;Warszawska ;12;35-959;17 852 12 45;;17 852 12 45;;rzeszow.miw@wetgiw.gov.pl;;http://piwrzeszow.mojbip.pl/;50,0492;21,9988
1102.;Powiatowy Inspektorat Weterynarii                      w Sanoku;podkarpackie ;sanocki;Sanok;Młynarska ;45;38-500;13 464 55 00;;13 464 55 05;;sanok.piw@wetgiw.gov.pl;;http://piw-sanok.bip.gov.pl/;49,5721;22,2025
1103.;Powiatowy Inspektorat Weterynarii                      w Stalowej Woli;podkarpackie ;stalowowolski ;Stalowa Wola;Okulickiego;12;37-450;15 844 31 76;;15 844 31 76 ;;stalowawola.piw@wetgiw.gov.pl;;http://www.piw.stalowowolski.pl/;50,5702;22,0589
1104.;Powiatowy Inspektorat Weterynarii                      w Strzyżowie;podkarpackie ;strzyżowski;Strzyżów;Łukasiewicza ;33;38-100;17 277 00 43;;17 277 00 43;;strzyzow. piw@wetgiw.gov.pl;;http://piwstrzyzow.itl.pl/bip/;49,8704;21,7774
1105.;Powiatowy Inspektorat Weterynarii                    w Tarnobrzegu;podkarpackie ;tarnobrzeski;Tarnobrzeg;Konfederacji Dzikowskiej ;20;39-400;15 822 27 52;;15 822 27 52;;tarnobrzeg.miw@wetgiw.gov.pl;;www.piw.tarnobrzeg.pl;50,5875;21,6899
1106.;Powiatowy Inspektorat Weterynarii                     w Ustrzykach Dolnych;podkarpackie;bieszczadzki;Ustrzyki Dolne;Pionierska ;10;38-700;13 461 13 16;;13 461 13 16;;ustrzykidolne.piw@wetgiw.gov.pl;;http://piwustrzykidolne.mojbip.pl/;49,4329;22,5858
1107.;Graniczna Stacja Sanitarno- Epidemiologiczna Przemyśl;podkarpackie;przemyski;Przemyśl;Mariacka ;4;37-700;16 678 27 86;;16 678 45 87;;gsse.przemysl@pis.gov.pl;;https://www.gov.pl/web/gsse-przemysl;49,7842;22,7904
1108.;Graniczny Inspektorat Weterynarii                      w Korczowej;podkarpackie;jarosławski;Młyny;-;-;37-552;16 628 23 42;;16 628 23 42;;korczowa.griw@wetgiw.gov.pl;;http://giwkorczowa.pl/;49,9561;23,1142
1109.;Urząd Wojewódzki w Białymstoku;podlaskie;;Białystok;Adama Mickiewicza;3;15-213;85 743 93 15;;85 743 92 31;;bok@bialystok.uw.gov.pl;;http://www.bialystok.uw.gov.pl/Channels/;53.1279;23.1698
1110.;Komenda Wojewódzka Państwowej Straży Pożarnej w Białymstoku ;podlaskie;;Białystok;Warszawska ;3; 15-062 ;47 711 70 01;47 711 70 10;85 653 74 44;;kwpsp@straz.bialystok.pl;;http://www.straz.bialystok.pl/;53.1359;23.1667
