LP.  ,NAZWA                                                                                                                                                            ,ADRES                                                                    ,EMAIL                                                  ,TELEFON                           ,GODZINY SOBOTA ,                                                         ,WOJEWÓDZTWO
 894 ,Moto360 Stacja Kontroli Pojazdów ST/009/P                                                                                                                        ,"ul. Budowlanych 156, 43-100 Tychy"                                      ,dariusz@drozdek.pl                                     ,602 113 331                       ,               ,7:00-14:00                                               ,śląskie
 895 ,ATH ANNA HAJSKA                                                                                                                                                  ,"ul. Budowlanych 78, 44-217 Rybnik"                                      ,biuro@athserwis.pl                                     ,324 210 080                       ,               ,8:00-13:00                                               ,śląskie
 896 ,"PHU ""KREG"" Sp. z o.o"                                                                                                                                         ,"ul. Bukowa 3, 41-700 Ruda Śląska"                                       ,kregwodzislaw@op.pl                                    ,606 249 807                       ,               ,"Tylko 23.11.2024 r. i 07.12.2024 r. w godz. 7:00-15:00" ,śląskie
 897 ,DIAGNOCAR II S.C.                                                                                                                                                ,"ul. Bytomska 280B, 41-940 Piekary Śląskie"                              ,piekary@diagnocar.pl                                   ,698 632 053                       ,               ,8:00-16:00                                               ,śląskie
 898 ,EUROTEST                                                                                                                                                         ,"ul. Chabrowa 1B, 44-200 Rybnik"                                         ,skp.eurotest@vp.pl                                     ,324 241 610                       ,               ,7:00-15:00                                               ,śląskie
 899 ,Podstawowa Stacja Kontroli Pojazdów Józef Pioskowik                                                                                                              ,"ul. Chełmska 5, 41-403 Chełm Śląski"                                    ,auto.komplks.serwis@gmail.com                          ,507 146 465                       ,               ,7:00-13:00                                               ,śląskie
 900 ,SKP „Ponicki Diagnostic”                                                                                                                                         ,"ul. Chorzowska 50d, 44-100 Gliwice"                                     ,kontakt@ponicki.pl                                     ,322 327 080                       ,               ,"Tylko 26.10.2024 r. i 07.12.2024 r. w godz. 8:00-14:00" ,śląskie
 901 ,Speed Car Rybnik                                                                                                                                                 ,"ul. Chwałowicka 19, 44-200 Rybnik"                                      ,centrala@speedcar.pl                                   ,324 237 139                       ,               ,8:00-15:00                                               ,śląskie
 902 ,OSKP RAD-NET                                                                                                                                                     ,"ul. Cieszyńska 338, 43-300 Bielsko - Biała"                             ,skp@radnet.com.pl                                      ,338 161 249                       ,               ,7:00-13:00                                               ,śląskie
 903 ,"Okręgowa Stacja Kontroli Pojazdów "" CHWISTEK """                                                                                                               ,"ul. Ciężarowa 17, 43 - 430 Skoczów"                                     ,chwistek.m@gmail.com                                   ,338 533 020                       ,               ,7:00-13:00                                               ,śląskie
 904 ,PPHU „MAX” Gabriela Krawczyk                                                                                                                                     ,"ul. Częstochowska 79, 42-160 Krzepice"                                  ,krawczyk@bosch-service.pl                              ,34 317 55 40                      ,               ,7:00-14:00                                               ,śląskie
 905 ,Speed Car Bielsko Biała                                                                                                                                          ,"ul. Daszyńskiego 54, 43-346 Bielsko-Biała"                              ,centrala@speedcar.pl                                   ,668 189 125                       ,               ,8:00-18:00                                               ,śląskie
 906 ,DIAGNOCAR Sp. Jawna                                                                                                                                              ,"ul. Frenzla 11, 41-908 Bytom"                                           ,bytom@diagnocar.pl                                     ,606 240 663                       ,               ,8:00-16:00                                               ,śląskie
 907 ,AUTOTEST                                                                                                                                                         ,"ul. Frysztacka 104, 43-400 Cieszyn"                                     ,oskpcieszyn@autotest.pl                                ,338 515 176                       ,               ,7:00-14:00                                               ,śląskie
 908 ,ROCAR BIS Sp z. o. o.                                                                                                                                            ,"ul. Furgoła 155, 44-230 Czerwionka"                                     ,KreGskp@ogmail.com                                     ,324 273 150                       ,               ,8:00-14:00                                               ,śląskie
 909 ,SKP TARNOWSKIE GÓRY                                                                                                                                              ,"ul. Gliwicka 54, 42-600 Tarnowskie Góry"                                ,skptarnowskiegory@pzmot.katowice.pl                    ,32 285218                         ,               ,8:00-12:00                                               ,śląskie
 910 ,OSKP Czesław Jóźwik                                                                                                                                              ,"ul. Gliwicka 98, 43-190 Mikołów"                                        ,fcj@jozwik.pl                                          ,731 505 102                       ,               ,8:00-14:00                                               ,śląskie
 911 ,PPHU IMEX Piotrowscy s.c                                                                                                                                         ,"ul. Głowackiego 49, 43-502 Czechowice-Dziedzice"                        ,imex@stacja-kontroli.pl                                ,696 877 303                       ,               ,7:00-14:00                                               ,śląskie
 912 ,MARPOL  - Stacja Kontroli Pojazdów                                                                                                                               ,"ul. Główna 35, 42-700 Wierzbie"                                         ,                                                       ,506 074 886                       ,               ,7:00-15:00                                               ,śląskie
 913 ,STACJA KONTROLI POJZDÓW JERZY SOBALSKI                                                                                                                           ,"ul. Gminna 36B, 42-244 Mstów"                                           ,skpsobalski@wp.pl                                      ,600 835 167                       ,               ,8:00-14:00                                               ,śląskie
 914 ,RETOS CZAPKA SP.J                                                                                                                                                ,"ul. Górecka 45, 43-430 Skoczów"                                         ,diagnostyka@retos.pl                                   ,33 8548667                        ,               ,7:00-13:00                                               ,śląskie
 915 ,STACJA CAR-TEST-SKP Paweł Chmura                                                                                                                                 ,"ul. Górecka 8A, 43-438 Brenna"                                          ,cartestbrenna@gmail.com                                ,733 303 706                       ,               ,8:00-13:00                                               ,śląskie
 916 ,ELZET                                                                                                                                                            ,"ul. Góreckiego 55, 44-200 Rybnik"                                       ,kondex-@interia.pl                                     ,501 010 142                       ,               ,8:00-15:00                                               ,śląskie
 917 ,"Stacja Kontroli Pojazdów ""MOTYL"""                                                                                                                             ,"ul. Górnicza 6, 42-500 Będzin"                                          ,biuro@motyl.org.pl                                     ,322 630 350                       ,               ,7:00-15:00                                               ,śląskie
 918 ,BIELMOT Żywiec                                                                                                                                                   ,"ul. Henryka Sienkiewicza 87, 34-300 Żywiec"                             ,bielmotzywiec.pl                                       ,668 026 440                       ,               ,7:00-14:00                                               ,śląskie
 919 ,Stacja Kontroli Pojazdów                                                                                                                                         ,"ul. Hermisza 12, 41-800 Zabrze"                                         ,p.iszczylowicz@vivainwestycje.pl                       ,728 915 000                       ,               ,8:00-14:00                                               ,śląskie
 920 ,PST TRANSGÓR S. A                                                                                                                                                ,"ul. Jankowicka 9, 44-200 Rybnik"                                        ,sekretariat@transgor.rybnik.pl                         ,32 75 55 444                      ,               ,6:00-15:00                                               ,śląskie
 921 ,Stacja Kontroli Pojazdów Grupa Cargo                                                                                                                             ,"ul. Karola Darwina 17, 43-603 Jaworzno"                                 ,skp@cargo.edu.pl                                       ,32 413 88 88                      ,               ,7:00-14:00                                               ,śląskie
 922 ,Okręgowa Stacja Kontroli Pojazdów Dąbrowa Górnicza                                                                                                               ,"ul. Kasprzaka 256, 41-300 Dąbrowa Górnicza"                             ,dabrowa.oskp@lontex.pl                                 ,32 260 00 28                      ,               ,7:00-14:00                                               ,śląskie
 923 ,Marpol Sp. z o.o.                                                                                                                                                ,"ul. Katowicka 162c, 41-500 Chorzów"                                     ,                                                       ,517 338 341                       ,               ,8:00-18:00                                               ,śląskie
 924 ,Speed Car Chorzów                                                                                                                                                ,"ul. Katowicka 24 (przy Lukoil), 41-500 Chorzów"                         ,centrala@speedcar.pl                                   ,322 410 240                       ,               ,8:00-18:00                                               ,śląskie
 925 ,Tech-Car                                                                                                                                                         ,"ul. Katowicka 47, 43-100 Tychy"                                         ,biuro@techcar.com.pl                                   ,530 214 213                       ,               ,8:00-16:00                                               ,śląskie
 926 ,Bosh Car Service SKP                                                                                                                                             ,"ul. Katowicka 73, 41-600 Świętochłowice"                                ,autobud@bosh-service.pl                                ,502 567 630                       ,               ,7:00-14:00                                               ,śląskie
 927 ,Speed Car Częstochowa                                                                                                                                            ,"ul. Kisielewskiego (Obok M1), 42-200 Częstochowa"                       ,centrala@speedcar.pl                                   ,343 607 707                       ,               ,8:00-16:00                                               ,śląskie
 928 ,SKP „TRANSBUD”                                                                                                                                                   ,"ul. Komunalna 2, 47-400 Racibórz"                                       ,                                                       ,32 415 38 37                      ,               ,"Tylko 26.10.2024 r. w godz. 9:00-12:00"                 ,śląskie
 929 ,Autotest Sp. z o. o.                                                                                                                                             ,"ul. Kopernika 3, 43-502 Czechowice-Dziedzice"                           ,czechowice@autotest.pl                                 ,32 215 66 27                      ,               ,7:00-14:00                                               ,śląskie
 930 ,PPHU IMEX PPHU Okręgowa Stacja Kontroli Pojazdów                                                                                                                 ,"ul. Kosynierów 33, 41-219 Sosnowiec"                                    ,imex@stacja-kontroli.pl                                ,322 988 891                       ,               ,7:00-14:00                                               ,śląskie
 931 ,OSKP RAD-NET                                                                                                                                                     ,"ul. Krakowska 384, 43-300 Bielsko - Biała"                              ,skp@radnet.com.pl                                      ,509 433 333                       ,               ,7:00-13:00                                               ,śląskie
 932 ,PKM Jaworzno Okręgowa Stacja Kontroli Pojazdów                                                                                                                   ,"ul. Krakowska 9, 43-600 Jaworzno"                                       ,skp@pkm.jaworzno.pl                                    ,327 535 530                       ,               ,7:00-14:00                                               ,śląskie
 933 ,PKS Częstochowa SA                                                                                                                                               ,"ul. Krasińskiego 14/24, 42-200 Częstochowa"                             ,diagnostyka@pks-czestochowa.pl                         ,608 441 021                       ,               ,6:00-12:00                                               ,śląskie
 934 ,AUTOTEST Żywiec                                                                                                                                                  ,"ul. KS. PR. STANISŁAWA SŁONKI 54, 34-300 ŻYWIEC"                        ,zywiec@autotest.pl                                     ,338 611 412                       ,               ,7:00-14:00                                               ,śląskie
 935 ,Podstawowa Stacja Kontroli Pojazdów „Bielaszka”                                                                                                                  ,"ul. Kusocińskiego 1, 44-330 Jastrzebie-Zdrój"                           ,                                                       ,324 408 997                       ,               ,8:00-14:00                                               ,śląskie
 936 ,Diagnomax.pl                                                                                                                                                     ,"ul. Laryska 40b, 41-400 Mysłowice"                                      ,bok@diagnomax.pl                                       ,326 271 665                       ,               ,6:00-14:00                                               ,śląskie
 937 ,AUTOTEST SPÓŁKA Z O.O.                                                                                                                                           ,"ul. Legionów 243, Czechowice-Dziedzice"                                 ,jkozik@autotest.pl                                     ,32 215 60 61                      ,               ,7:00-13:00                                               ,śląskie
 938 ,OSKP  Komunikacja Beskidzka                                                                                                                                      ,"ul. Legionów 54, 43-300 Bielsko - Biała"                                ,stacjakontroli@komunikacjabeskidzka.pl                 ,662 276 964                       ,               ,7:00-14:30                                               ,śląskie
 939 ,"Podstawowa Stacja Kontroli Pojazdów ""ROMAX"""                                                                                                                  ,"ul. Lędzińska 40, 43-140 Lędziny"                                       ,                                                       ,323 267 936                       ,               ,8:00-13:00                                               ,śląskie
 940 ,OSKP LONTEX                                                                                                                                                      ,"ul. Ligocka 55, 43-502 Czechowice-Dziedzice"                            ,marketing@lontex.pl                                    ,695 285 456                       ,               ,7:00-14:00                                               ,śląskie
 941 ,"Podstawowa Stacja Kontroli Pojazdów ""MaxCar"" Mirosław Król"                                                                                                   ,"ul. Liliowa 1, 41-407 Imielin"                                          ,biuro.maxcar@gmail.com                                 ,"507 956 176, 503 606 603"        ,               ,8:00-14:00                                               ,śląskie
 942 ,"PHU ""KREG"" Sp. z o.o"                                                                                                                                         ,"ul. Lipowa 59, 44-207 Rybnik"                                           ,KreGskp@gmail.com                                      ,606 249 807                       ,               ,7:00-15:00                                               ,śląskie
 943 ,PODSTAWOWA STACJA KONTROLI POJAZDÓW                                                                                                                              ,"ul. Łukasińskiego 32/38, 42-207 Częstochowa"                            ,ckp.sc02@poczta.fm                                     ,343 231 186                       ,               ,8:00-13:00                                               ,śląskie
 944 ,BROIMPEX Oskar Brzozowski                                                                                                                                        ,"ul. Magreta 2a, 42-160 Krzepice"                                        ,biuro@broimpex.pl                                      ,34 3175320                        ,               ,"Tylko 26.10.2024 r. w godz. 8:00-15:00"                 ,śląskie
 945 ,PUHP ELTEKON PGP Sp. z o.o                                                                                                                                       ,"ul. Michałkowicka 58, 41-103 Siemianowice Śląskie"                      ,gp@eltekon.pl                                          ,886 623 324                       ,               ,10:00-13:00                                              ,śląskie
 946 ,PKM Katowice                                                                                                                                                     ,"ul. Mickiewicza 59, 40-706 Katowice"                                    ,firma@pkm.katowice.pl                                  ,324 931 037                       ,               ,6:00-13:00                                               ,śląskie
 947 ,PPHU IMEX Piotrowscy s.c                                                                                                                                         ,"ul. Mikołajczyka 31, 41-200 Sosnowiec"                                  ,imex@stacja-kontroli.pl                                ,322 963 388                       ,               ,7:00-14:00                                               ,śląskie
 948 ,"PHU ""KREG"" Sp. z o.o"                                                                                                                                         ,"ul. Mikołowska 136, 44-200 Rybnik"                                      ,KreGskp@gmail.pl                                       ,324 229 394                       ,               ,7:00-15:00                                               ,śląskie
 949 ,MT Conticars OKRĘGOWA STACJA KONTROLI POJAZDÓW SMI/013                                                                                                           ,"ul. Mikołowska 88, 43-180 Orzesze"                                      ,conticars.oskp@gmail.com                               ,734 060 606                       ,               ,8:00-16:00                                               ,śląskie
 950 ,Diagneo sp. z o.o.                                                                                                                                               ,"ul. Mikołowska 92, 43-180 Orzesze"                                      ,info@diagneo.com.pl                                    ,322 215 790                       ,               ,8:00-16:00                                               ,śląskie
 951 ,PPUH DUBLET BIS Sp. z o.o                                                                                                                                        ,"ul. Myszkowska 61, 42-310 Żarki"                                        ,kontakt@dubletbis.pl                                   ,343 149 795                       ,               ,7:00-15:00                                               ,śląskie
 952 ,OSKP Zabrze                                                                                                                                                      ,"ul. Nad Kanałem 35a, 41-800 Zabrze"                                     ,p.iszczylowicz@vivainwestycje.pl                       ,322 760 947                       ,               ,8:00-14:00                                               ,śląskie
 953 ,CAR DIAGNOSTIC BISKatarzyna Kułakowska                                                                                                                           ,"ul. Nad Kanałem 95, 41-800 Zabrze"                                      ,l.kulakowski@gmail.com                                 ,327 261 456                       ,               ,8:00-13:00                                               ,śląskie
 954 ,Okręgowa Stacja Kontroli Pojazdów                                                                                                                                ,"ul. Naftowa 97, 41-200 Sosnowiec"                                       ,ewalisek02@op.pl                                       ,721 188 810                       ,               ,8:00-15:00                                               ,śląskie
 955 ,OSKP „AUTOFIKO”                                                                                                                                                  ,"ul. Niemcewicza 2a, 43-600 Jaworzno"                                    ,oskp@autofiko.pl                                       ,731 303 303                       ,               ,7:00-15:00                                               ,śląskie
 956 ,OSKP                                                                                                                                                             ,"ul. Obrońców Poczty Gdańskiej 24A, 42-400 Zawiercie"                    ,                                                       ,326 708 268                       ,               ,7:00-15:00                                               ,śląskie
 957 ,Podstawowa Stacja Kontroli Pojazdów „Madag”                                                                                                                      ,"ul. Opawska 155, 47-400 Racibórz"                                       ,                                                       ,32 307 30 20                      ,               ,"Tylko 16.11.2024 r. i 07.12.2024 r. w godz. 8:00-13:00" ,śląskie
 958 ,OSKP Kochłowice                                                                                                                                                  ,"ul. Oświęcimska 140, Ruda Śląska"                                       ,                                                       ,32 701 10 49                      ,               ,7:00-13:00                                               ,śląskie
 959 ,Speed Car Tychy                                                                                                                                                  ,"ul. Oświęcimska 25, 43-100 Tychy"                                       ,centrala@speedcar.pl                                   ,509 991 915                       ,               ,8:00-14:00                                               ,śląskie
 960 ,"OKRĘGOWA STACJA KONTROLI POJAZDÓW ""WARTA"""                                                                                                                    ,"ul. Paderewskiego 112a, 42-400 Zawiercie"                               ,oskpzawiercie@gmail.com                                ,326 723 712                       ,               ,7:00-14:00                                               ,śląskie
 961 ,"PHU ""KREG"" Sp. z o.o."                                                                                                                                        ,"ul. Patriotów 37, 44-253 Rybnik-Boguszowice"                            ,KreGskp@ogmail.com                                     ,606 249 807                       ,               ,7:00-15:00                                               ,śląskie
 962 ,Stacja Kontroli Pojazdów                                                                                                                                         ,"ul. Pawliczka 24D, 41-800 Zabrze"                                       ,skp.pawliczka@vivainwestycje.pl                        ,786 949 721                       ,               ,8:00-14:00                                               ,śląskie
 963 ,"OSKP ""PORĘBA"""                                                                                                                                                ,"ul. Pędzicha 12, 42-480 Poręba"                                         ,oskpporeba@onet.pl                                     ,324 941 329                       ,               ,7:00-14:00                                               ,śląskie
 964 ,Podstawowa Stacja Kontroli Pojazdów „Bielaszka”                                                                                                                  ,"ul. Piechoczka 5, 44-335 Jastrzębie-Zdrój"                              ,                                                       ,324 763 499                       ,               ,8:00-14:00                                               ,śląskie
 965 ,Tech-Car                                                                                                                                                         ,"ul. Piłsudskiego 23, 43-100 Tychy"                                      ,serwis@techcar.pl                                      ,600 936 340                       ,               ,8:00-16:00                                               ,śląskie
 966 ,Autotest Sp. z o. o.                                                                                                                                             ,"ul. Poniatowskiego 17, 43-300 Bielsko-Biała"                            ,bielsko@autotest.pl                                    ,33 498 84 84                      ,               ,7:00-14:00                                               ,śląskie
 967 ,Okręgowa SKP Motozeg – Diagnostyka Sp. z o.o                                                                                                                     ,"ul. Portowa 16F, Gliwice"                                               ,diagnostyka@motozeg.pl                                 ,32 444 68 88                      ,               ,8:00-14:00                                               ,śląskie
 968 ,P.P.H.U. „MAX” Gabriela Krawczyk                                                                                                                                 ,"ul. Powstańców Śląskich 5, 42-141 Przystajń"                            ,                                                       ,883 999 430                       ,               ,7:00-14:00                                               ,śląskie
 969 ,Automobilklub Śląski OSKP                                                                                                                                        ,"ul. Pszczyńska 13, 40-479 Katowice"                                     ,                                                       ,32 209 82 24                      ,               ,7:00-13:00                                               ,śląskie
 970 ,Okręgowa Stacja Kontroli Pojazdów „Bielaszka”                                                                                                                    ,"ul. Pszczyńska 8, 44-335 Jastrzębie-Zdrój"                              ,                                                       ,324 734 051                       ,               ,8:00-14.00                                               ,śląskie
 971 ,Speed Car Bytom                                                                                                                                                  ,"ul. Pułaskiego 77, 41-900 Bytom"                                        ,centrala@speedcar.pl                                   ,322 891 064                       ,               ,8:00-18:00                                               ,śląskie
 972 ,"PHU ""KREG"" Sp. z o.o"                                                                                                                                         ,"ul. Rybnicka 40, 44-300 Wodzisław Śląski"                               ,kregwodzislaw@op.pl                                    ,606 249 807                       ,               ,"Tylko 07.12.2024 r. w godz. 7:00-15:00"                 ,śląskie
 973 ,Okręgowa Stacja Kontroli Pojazdów                                                                                                                                ,"ul. Sikorskiego 82/94, 40-200 Częstochowa"                              ,parkitka@straz.czestochowa.pl                          ,604 500 130                       ,               ,8:00-18:00                                               ,śląskie
 974 ,„AUTO-SERVIS” S.C. J.G.M.W. Mońkowie                                                                                                                             ,"ul. Słowackiego 36, 42-160 Krzepice"                                    ,biuro@monkowie.pl                                      ,34 317 61 26                      ,               ,8:00-14:00                                               ,śląskie
 975 ,OSKP RUDA ŚLĄSKA                                                                                                                                                 ,"ul. Solidarności 23, 41-706 Ruda Śląska"                                ,rudaslaska@pzmot.katowice.pl                           ,322 426 265                       ,               ,8:00-14:00                                               ,śląskie
 976 ,OMEGA                                                                                                                                                            ,"ul. Stara 1, Ruda Śląska"                                               ,                                                       ,32 725 58 88                      ,               ,8:00-14:00                                               ,śląskie
 977 ,Autostrefa”Szatmat”                                                                                                                                              ,"ul. Staszica 14, 41-300 Dąbrowa Górnicza"                               ,                                                       ,509 398 054                       ,               ,7:00-14:00                                               ,śląskie
 978 ,Auto-SIT                                                                                                                                                         ,"ul. Stawowa 81, 43-400 Cieszyn"                                         ,janusz.tomica@neostrada.pl                             ,33 582 55 33                      ,               ,8:00-13:00                                               ,śląskie
 979 ,OSKP „IMPERIAL”                                                                                                                                                  ,"ul. Strzemieszycka 54b, 41-300 Dąbrowa Górnicza"                        ,skp.dg@imperial.biz.pl                                 ,505 007 350                       ,               ,6:00-14:00                                               ,śląskie
 980 ,PZM                                                                                                                                                              ,"ul. Styczyńskiego 22, 41-500 Chorzów"                                   ,motocentrumchorzów@pzmot.katowice.pl                   ,322 411 902                       ,               ,8:00-13:00                                               ,śląskie
 981 ,Firma Handlowo Usługowa Wiesław Mielczrek                                                                                                                        ,"ul. Szkolna 202, 42-100 Kłobuck"                                        ,przemek1269@vp.pl                                      ,34 319 86 06                      ,               ,7:30-15:00                                               ,śląskie
 982 ,ALFA                                                                                                                                                             ,"ul. Szpaków 51, Ruda Śląska"                                            ,                                                       ,32 740 92 21                      ,               ,8:00-14:00                                               ,śląskie
 983 ,OSKP „KreG”                                                                                                                                                      ,"ul. Szpitalna 44, 44-190 Knurów"                                        ,kregskp@gmail.com                                      ,322 351 090                       ,               ,7:00-14:00                                               ,śląskie
 984 ,AMT SERWIS                                                                                                                                                       ,"ul. Śląska 85a, 41-100 Siemianowice Śl."                                ,skp@amt-serwis.pl                                      ,799 969 444                       ,               ,8:00-15:00                                               ,śląskie
 985 ,SKP Diagno-Test                                                                                                                                                  ,"ul. Świerczyny 72, 41-100 Mysłowice"                                    ,biuro@diagno-test.pl                                   ,322 225 257                       ,               ,7:00-15:00                                               ,śląskie
 986 ,Stacja Kontroli Pojazdów                                                                                                                                         ,"ul. Świętego Antoniego 3, 41-300 Dąbrowa Górnicza"                      ,wysocki.serwis@interia.pl                              ,792 525 607                       ,               ,8:00-14:00                                               ,śląskie
 987 ,ZUH EUROMOT SP. Z O.O.                                                                                                                                           ,"ul. Tadeusza Kościuszki 79, 44-240 Żory"                                ,grzegorz.glowacz@euromot.com.pl                        ,605 311 622                       ,               ,7:00-14:00                                               ,śląskie
 988 ,FABUD                                                                                                                                                            ,"ul. Towarowa 2, 41-103 Siemianowice Śląskie"                            ,skp@fabudwkb.com.pl                                    ,322 284 750                       ,               ,7:00-16:00                                               ,śląskie
 989 ,"Okręgowa Stacja Kontroli Pojazdów ""CenterCamp"" Mirosław Klaja"                                                                                                ,"ul. Turystyczna 2 C, 43-155 Bieruń"                                     ,                                                       ,324 446 411                       ,               ,8:00-14:00                                               ,śląskie
 990 ,OSKP Legalizacja Tachografów                                                                                                                                     ,"ul. Tworzeń 127, 41-303 Dąbrowa Górnicza"                               ,                                                       ,322 601 288                       ,               ,7:00-13:00                                               ,śląskie
 991 ,"FHU „DAMAR” S.C. Damian Szulc, Tadeusz Wieczorek"                                                                                                               ,"ul. Tysiąclecia 33C, 42-140 Panki"                                      ,damar29@o2.pl                                          ,34 344 68 46                      ,               ,8:00-14:00                                               ,śląskie
 992 ,SŁOTZŁOM Słociński sp. j.                                                                                                                                        ,"ul. Warszawska 32, 42-350 Koziegłowy"                                   ,slotzlom@o2.pl                                         ,(34) 314-15-31                    ,               ,7:00-15:00                                               ,śląskie
 993 ,"Stacja Kontroli Pojazdów ""Traver"" Wojtyczka Wojciech"                                                                                                         ,"ul. Węglowa 133, 43-155 Bieruń"                                         ,                                                       ,323269322wew.5                    ,               ,8:00-13:00                                               ,śląskie
 994 ,ZHU POLTRANS Piotr Dębowski                                                                                                                                      ,"ul. Wieluńska 3/5, 42-110 Popów"                                        ,tac@op.pl                                              ,517 478 551                       ,               ,"Tylko 26.10.2024 r. w godz. 8:00-12:00"                 ,śląskie
 995 ,DIAGNOCAR Sp. z o.o.                                                                                                                                             ,"ul. Witczaka 137, 41-902 Bytom"                                         ,bytom1@diagnocar.pl                                    ,72 88 87 260                      ,               ,8:00-16:00                                               ,śląskie
 996 ,MGTrans                                                                                                                                                          ,"ul. Witosa 36, 34-300 Żywiec"                                           ,mgtransporty@gmail.com                                 ,33 866 65 00                      ,               ,8:00-13:00                                               ,śląskie
 997 ,DIAGNOCAR II Sp. z o.o.                                                                                                                                          ,"ul. Władysława Łokietka 2, 41-933 Bytom"                                ,bytom2@diagnocar.pl                                    ,660 313 341                       ,               ,8:00-16:00                                               ,śląskie
 998 ,STACJA KONTROLI POJAZDÓW BrEla s.c.                                                                                                                              ,"ul. Wodzisławska 97, 44-325 Mszana"                                     ,brela.skp@interia.eu                                   ,327 206 808                       ,               ,"Tylko 26.10.2024 r. i 16.11.2024 r. w godz. 8:00-14:00" ,śląskie
 999 ,PPHU„FERGOPOL” Paweł Kowalczyk                                                                                                                                   ,"ul. Wojska Polskiego 14,  42-100 Kłobuck"                               ,biuro@fergopol.pl                                      ,34 310 01 29                      ,               ,8:00-13:00                                               ,śląskie
1000 ,Stacja Kontroli Pojazdów Zabrze 4S For Safety                                                                                                                    ,"ul. Wolności 210, 41-800 Zabrze"                                        ,mprskp@gmail.com                                       ,881 002 069                       ,               ,8:00-16:00                                               ,śląskie
1001 ,Stacja Kontroli Pojazdów „WARMEX”                                                                                                                                ,"ul. Wyszyńskiego 78, 41-940 Piekary Śląskie"                            ,                                                       ,326 686 634                       ,               ,8:00-15:00                                               ,śląskie
