"Kod";"Nazwa";"ogolem"
"1818053";"Zaklików (3)";"8249"
"1818054";"Zaklików - miasto (4)";"2849"
"1818055";"Zaklików - obszar wiejski (5)";"5400"
"1818062";"Zaleszany (2)";"11019"
"1819000";"Powiat strzyżowski";"60189"
"1819012";"Czudec (2)";"11628"
"1819022";"Frysztak (2)";"10225"
"1819032";"Niebylec (2)";"10435"
"1819043";"Strzyżów (3)";"20140"
"1819044";"Strzyżów - miasto (4)";"8588"
"1819045";"Strzyżów - obszar wiejski (5)";"11552"
"1819052";"Wiśniowa (2)";"7761"
"1820000";"Powiat tarnobrzeski";"51829"
"1820013";"Baranów Sandomierski (3)";"11539"
"1820014";"Baranów Sandomierski - miasto (4)";"1425"
"1820015";"Baranów Sandomierski - obszar wiejski (5)";"10114"
"1820022";"Gorzyce (2)";"12922"
"1820032";"Grębów (2)";"9993"
"1820043";"Nowa Dęba (3)";"17375"
"1820044";"Nowa Dęba - miasto (4)";"10647"
"1820045";"Nowa Dęba - obszar wiejski (5)";"6728"
"1821000";"Powiat leski";"25896"
"1821012";"Baligród (2)";"3079"
"1821022";"Cisna (2)";"1705"
"1821033";"Lesko (3)";"11008"
"1821034";"Lesko - miasto (4)";"5254"
"1821035";"Lesko - obszar wiejski (5)";"5754"
"1821042";"Olszanica (2)";"4807"
"1821052";"Solina (2)";"5297"
"1861000";"Powiat m. Krosno";"45057"
"1861011";"Krosno (1)";"45057"
"1862000";"Powiat m. Przemyśl";"58408"
"1862011";"Przemyśl (1)";"58408"
"1863000";"Powiat m. Rzeszów";"195871"
"1863011";"Rzeszów (1)";"195871"
"1864000";"Powiat m. Tarnobrzeg";"44901"
"1864011";"Tarnobrzeg (1)";"44901"
"2000000";"PODLASKIE";"1154283"
"2001000";"Powiat augustowski";"55773"
"2001011";"Augustów (1)";"29494"
"2001022";"Augustów (2)";"6493"
"2001032";"Bargłów Kościelny (2)";"5135"
"2001043";"Lipsk (3)";"4654"
"2001044";"Lipsk - miasto (4)";"2161"
"2001045";"Lipsk - obszar wiejski (5)";"2493"
"2001052";"Nowinka (2)";"2893"
"2001062";"Płaska (2)";"2407"
"2001072";"Sztabin (2)";"4697"
"2002000";"Powiat białostocki";"154255"
"2002013";"Choroszcz (3)";"16894"
"2002014";"Choroszcz - miasto (4)";"5961"
"2002015";"Choroszcz - obszar wiejski (5)";"10933"
"2002023";"Czarna Białostocka (3)";"11024"
"2002024";"Czarna Białostocka - miasto (4)";"8943"
"2002025";"Czarna Białostocka - obszar wiejski (5)";"2081"
"2002032";"Dobrzyniewo Duże (2)";"10020"
"2002042";"Gródek (2)";"4982"
"2002052";"Juchnowiec Kościelny (2)";"17914"
"2002063";"Łapy (3)";"20826"
"2002064";"Łapy - miasto (4)";"14790"
"2002065";"Łapy - obszar wiejski (5)";"6036"
"2002073";"Michałowo (3)";"6108"
"2002074";"Michałowo - miasto (4)";"2821"
"2002075";"Michałowo - obszar wiejski (5)";"3287"
"2002082";"Poświętne (2)";"3186"
"2002093";"Supraśl (3)";"17074"
"2002094";"Supraśl - miasto (4)";"4427"
"2002095";"Supraśl - obszar wiejski (5)";"12647"
"2002103";"Suraż (3)";"1935"
"2002104";"Suraż - miasto (4)";"975"
"2002105";"Suraż - obszar wiejski (5)";"960"
"2002112";"Turośń Kościelna (2)";"6792"
"2002123";"Tykocin (3)";"5872"
"2002124";"Tykocin - miasto (4)";"1917"
"2002125";"Tykocin - obszar wiejski (5)";"3955"
"2002133";"Wasilków (3)";"19342"
"2002134";"Wasilków - miasto (4)";"12147"
"2002135";"Wasilków - obszar wiejski (5)";"7195"
"2002143";"Zabłudów (3)";"9735"
"2002144";"Zabłudów - miasto (4)";"2475"
"2002145";"Zabłudów - obszar wiejski (5)";"7260"
"2002152";"Zawady (2)";"2551"
"2003000";"Powiat bielski";"52427"
"2003011";"Bielsk Podlaski (1)";"24633"
"2003021";"Brańsk (1)";"3583"
"2003032";"Bielsk Podlaski (2)";"6513"
"2003042";"Boćki (2)";"3968"
"2003052";"Brańsk (2)";"5408"
"2003062";"Orla (2)";"2554"
"2003072";"Rudka (2)";"1716"
"2003082";"Wyszki (2)";"4052"
"2004000";"Powiat grajewski";"45481"
"2004011";"Grajewo (1)";"21395"
"2004022";"Grajewo (2)";"5543"
"2004032";"Radziłów (2)";"4470"
"2004043";"Rajgród (3)";"4767"
"2004044";"Rajgród - miasto (4)";"1467"
"2004045";"Rajgród - obszar wiejski (5)";"3300"
"2004053";"Szczuczyn (3)";"5889"
"2004054";"Szczuczyn - miasto (4)";"3235"
"2004055";"Szczuczyn - obszar wiejski (5)";"2654"
"2004062";"Wąsosz (2)";"3417"
"2005000";"Powiat hajnowski";"40439"
"2005011";"Hajnówka (1)";"19667"
"2005022";"Białowieża (2)";"2046"
"2005032";"Czeremcha (2)";"2815"
"2005042";"Czyże (2)";"1883"
"2005052";"Dubicze Cerkiewne (2)";"1403"
"2005062";"Hajnówka (2)";"3734"
"2005073";"Kleszczele (3)";"2251"
"2005074";"Kleszczele - miasto (4)";"1128"
"2005075";"Kleszczele - obszar wiejski (5)";"1123"
"2005082";"Narew (2)";"3369"
"2005092";"Narewka (2)";"3271"
"2006000";"Powiat kolneński";"36374"
"2006011";"Kolno (1)";"9999"
"2006022";"Grabowo (2)";"3270"
"2006032";"Kolno (2)";"8055"
"2006042";"Mały Płock (2)";"4459"
"2006053";"Stawiski (3)";"5722"
"2006054";"Stawiski - miasto (4)";"2095"
"2006055";"Stawiski - obszar wiejski (5)";"3627"
"2006062";"Turośl (2)";"4869"
"2007000";"Powiat łomżyński";"49954"
"2007013";"Jedwabne (3)";"5013"
"2007014";"Jedwabne - miasto (4)";"1701"
"2007015";"Jedwabne - obszar wiejski (5)";"3312"
"2007022";"Łomża (2)";"11734"
"2007032";"Miastkowo (2)";"4089"
"2007043";"Nowogród (3)";"3912"
"2007044";"Nowogród - miasto (4)";"2134"
"2007045";"Nowogród - obszar wiejski (5)";"1778"
"2007052";"Piątnica (2)";"10331"
"2007062";"Przytuły (2)";"1948"
"2007072";"Śniadowo (2)";"5154"
"2007082";"Wizna (2)";"3715"
"2007092";"Zbójna (2)";"4058"
"2008000";"Powiat moniecki";"38490"
"2008013";"Goniądz (3)";"4733"
"2008014";"Goniądz - miasto (4)";"1785"
"2008015";"Goniądz - obszar wiejski (5)";"2948"
"2008022";"Jasionówka (2)";"2528"
"2008032";"Jaświły (2)";"4516"
"2008043";"Knyszyn (3)";"4582"
"2008044";"Knyszyn - miasto (4)";"2688"
"2008045";"Knyszyn - obszar wiejski (5)";"1894"
"2008052";"Krypno (2)";"3776"
"2008063";"Mońki (3)";"14281"
"2008064";"Mońki - miasto (4)";"9675"
"2008065";"Mońki - obszar wiejski (5)";"4606"
"2008072";"Trzcianne (2)";"4074"
"2009000";"Powiat sejneński";"19184"
"2009011";"Sejny (1)";"5075"
"2009022";"Giby (2)";"2558"
"2009032";"Krasnopol (2)";"3651"
"2009042";"Puńsk (2)";"4092"
"2009052";"Sejny (2)";"3808"
"2010000";"Powiat siemiatycki";"42159"
"2010011";"Siemiatycze (1)";"13782"
"2010023";"Drohiczyn (3)";"5937"
"2010024";"Drohiczyn - miasto (4)";"1848"
"2010025";"Drohiczyn - obszar wiejski (5)";"4089"
"2010032";"Dziadkowice (2)";"2620"
"2010042";"Grodzisk (2)";"3924"
"2010052";"Mielnik (2)";"2159"
"2010062";"Milejczyce (2)";"1696"
"2010072";"Nurzec-Stacja (2)";"3611"
"2010082";"Perlejewo (2)";"2612"
"2010092";"Siemiatycze (2)";"5818"
"2011000";"Powiat sokólski";"63445"
"2011013";"Dąbrowa Białostocka (3)";"10572"
"2011014";"Dąbrowa Białostocka - miasto (4)";"5257"
"2011015";"Dąbrowa Białostocka - obszar wiejski (5)";"5315"
"2011022";"Janów (2)";"3835"
"2011032";"Korycin (2)";"3100"
"2011043";"Krynki (3)";"2809"
"2011044";"Krynki - miasto (4)";"2217"
"2011045";"Krynki - obszar wiejski (5)";"592"
"2011052";"Kuźnica (2)";"3768"
"2011062";"Nowy Dwór (2)";"2298"
"2011072";"Sidra (2)";"3163"
"2011083";"Sokółka (3)";"24552"
"2011084";"Sokółka - miasto (4)";"17616"
"2011085";"Sokółka - obszar wiejski (5)";"6936"
"2011093";"Suchowola (3)";"6537"
"2011094";"Suchowola - miasto (4)";"2113"
"2011095";"Suchowola - obszar wiejski (5)";"4424"
"2011102";"Szudziałowo (2)";"2811"
"2012000";"Powiat suwalski";"35028"
"2012012";"Bakałarzewo (2)";"3007"
"2012022";"Filipów (2)";"4089"
"2012032";"Jeleniewo (2)";"3137"
"2012042";"Przerośl (2)";"2817"
"2012052";"Raczki (2)";"5755"
"2012062";"Rutka-Tartak (2)";"2280"
"2012072";"Suwałki (2)";"7931"
"2012082";"Szypliszki (2)";"3912"
"2012092";"Wiżajny (2)";"2100"
"2013000";"Powiat wysokomazowiecki";"54856"
"2013011";"Wysokie Mazowieckie (1)";"9155"
"2013023";"Ciechanowiec (3)";"8239"
"2013024";"Ciechanowiec - miasto (4)";"4500"
"2013025";"Ciechanowiec - obszar wiejski (5)";"3739"
"2013033";"Czyżew (3)";"6149"
"2013034";"Czyżew - miasto (4)";"2528"
"2013035";"Czyżew - obszar wiejski (5)";"3621"
"2013042";"Klukowo (2)";"4120"
"2013052";"Kobylin-Borzymy (2)";"3015"
"2013062";"Kulesze Kościelne (2)";"2997"
"2013072";"Nowe Piekuty (2)";"3647"
"2013082";"Sokoły (2)";"5393"
"2013093";"Szepietowo (3)";"6658"
"2013094";"Szepietowo - miasto (4)";"2073"
"2013095";"Szepietowo - obszar wiejski (5)";"4585"
"2013102";"Wysokie Mazowieckie (2)";"5483"
"2014000";"Powiat zambrowski";"42099"
"2014011";"Zambrów (1)";"21351"
"2014022";"Kołaki Kościelne (2)";"2216"
"2014032";"Rutki (2)";"5191"
"2014042";"Szumowo (2)";"4642"
"2014052";"Zambrów (2)";"8699"
"2061000";"Powiat m. Białystok";"294242"
"2061011";"Białystok (1)";"294242"
"2062000";"Powiat m. Łomża";"60848"
"2062011";"Łomża (1)";"60848"
"2063000";"Powiat m. Suwałki";"69229"
"2063011";"Suwałki (1)";"69229"
"2200000";"POMORSKIE";"2357320"
"2201000";"Powiat bytowski";"77343"
"2201012";"Borzytuchom (2)";"3358"
"2201023";"Bytów (3)";"25314"
"2201024";"Bytów - miasto (4)";"16739"
"2201025";"Bytów - obszar wiejski (5)";"8575"
"2201032";"Czarna Dąbrówka (2)";"5742"
"2201042";"Kołczygłowy (2)";"4172"
"2201052";"Lipnica (2)";"5153"
"2201063";"Miastko (3)";"18415"
"2201064";"Miastko - miasto (4)";"9770"
"2201065";"Miastko - obszar wiejski (5)";"8645"
"2201072";"Parchowo (2)";"3792"
"2201082";"Studzienice (2)";"3640"
"2201092";"Trzebielino (2)";"3601"
"2201102";"Tuchomie (2)";"4156"
"2202000";"Powiat chojnicki";"96344"
"2202011";"Chojnice (1)";"39275"
"2202023";"Brusy (3)";"14355"
"2202024";"Brusy - miasto (4)";"5146"
"2202025";"Brusy - obszar wiejski (5)";"9209"
"2202032";"Chojnice (2)";"19096"
"2202043";"Czersk (3)";"21354"
"2202044";"Czersk - miasto (4)";"9997"
"2202045";"Czersk - obszar wiejski (5)";"11357"
"2202052";"Konarzyny (2)";"2264"
"2203000";"Powiat człuchowski";"54240"
"2203011";"Człuchów (1)";"13343"
"2203023";"Czarne (3)";"8768"
"2203024";"Czarne - miasto (4)";"5749"
"2203025";"Czarne - obszar wiejski (5)";"3019"
"2203032";"Człuchów (2)";"10715"
"2203043";"Debrzno (3)";"8771"
"2203044";"Debrzno - miasto (4)";"5020"
"2203045";"Debrzno - obszar wiejski (5)";"3751"
"2203052";"Koczała (2)";"3216"
"2203062";"Przechlewo (2)";"6007"
"2203072";"Rzeczenica (2)";"3420"
"2204000";"Powiat gdański";"126898"
"2204011";"Pruszcz Gdański (1)";"31582"
"2204022";"Cedry Wielkie (2)";"6774"
"2204032";"Kolbudy (2)";"20173"
"2204042";"Pruszcz Gdański (2)";"36246"
"2204052";"Przywidz (2)";"5960"
"2204062";"Pszczółki (2)";"10515"
"2204072";"Suchy Dąb (2)";"4200"
"2204082";"Trąbki Wielkie (2)";"11448"
"2205000";"Powiat kartuski";"147993"
"2205012";"Chmielno (2)";"7727"
"2205023";"Kartuzy (3)";"34195"
"2205024";"Kartuzy - miasto (4)";"14204"
"2205025";"Kartuzy - obszar wiejski (5)";"19991"
"2205032";"Przodkowo (2)";"10534"
"2205042";"Sierakowice (2)";"20465"
"2205052";"Somonino (2)";"11012"
"2205062";"Stężyca (2)";"10968"
"2205072";"Sulęczyno (2)";"5670"
"2205083";"Żukowo (3)";"47422"
"2205084";"Żukowo - miasto (4)";"6652"
"2205085";"Żukowo - obszar wiejski (5)";"40770"
"2206000";"Powiat kościerski";"72391"
"2206011";"Kościerzyna (1)";"23723"
"2206022";"Dziemiany (2)";"4463"
"2206032";"Karsin (2)";"6178"
"2206042";"Kościerzyna (2)";"15971"
"2206052";"Liniewo (2)";"4461"
"2206062";"Lipusz (2)";"3744"
"2206072";"Nowa Karczma (2)";"7091"
"2206082";"Stara Kiszewa (2)";"6760"
"2207000";"Powiat kwidzyński";"81329"
"2207011";"Kwidzyn (1)";"37768"
"2207022";"Gardeja (2)";"8124"
"2207032";"Kwidzyn (2)";"11309"
"2207043";"Prabuty (3)";"12465"
"2207044";"Prabuty - miasto (4)";"8289"
"2207045";"Prabuty - obszar wiejski (5)";"4176"
"2207052";"Ryjewo (2)";"5691"
"2207062";"Sadlinki (2)";"5972"
"2208000";"Powiat lęborski";"64264"
"2208011";"Lębork (1)";"34500"
"2208021";"Łeba (1)";"3228"
"2208032";"Cewice (2)";"7434"
"2208042";"Nowa Wieś Lęborska (2)";"13454"
"2208052";"Wicko (2)";"5648"
"2209000";"Powiat malborski";"61779"
"2209011";"Malbork (1)";"37635"
"2209032";"Lichnowy (2)";"4249"
"2209042";"Malbork (2)";"4897"
"2209062";"Miłoradz (2)";"3282"
"2209073";"Nowy Staw (3)";"7264"
"2209074";"Nowy Staw - miasto (4)";"4101"
"2209075";"Nowy Staw - obszar wiejski (5)";"3163"
"2209082";"Stare Pole (2)";"4452"
"2210000";"Powiat nowodworski";"34202"
"2210011";"Krynica Morska (1)";"1172"
"2210023";"Nowy Dwór Gdański (3)";"17115"
"2210024";"Nowy Dwór Gdański - miasto (4)";"9618"
"2210025";"Nowy Dwór Gdański - obszar wiejski (5)";"7497"
"2210032";"Ostaszewo (2)";"2973"
"2210042";"Stegna (2)";"9442"
"2210052";"Sztutowo (2)";"3500"
"2211000";"Powiat pucki";"89759"
"2211011";"Hel (1)";"2975"
"2211023";"Jastarnia (3)";"3553"
"2211024";"Jastarnia - miasto (4)";"2665"
"2211025";"Jastarnia - obszar wiejski (5)";"888"
"2211031";"Puck (1)";"10868"
"2211043";"Władysławowo (3)";"14765"
"2211044";"Władysławowo - miasto (4)";"9613"
"2211045";"Władysławowo - obszar wiejski (5)";"5152"
"2211052";"Kosakowo (2)";"19376"
"2211062";"Krokowa (2)";"10546"
"2211072";"Puck (2)";"27676"
"2212000";"Powiat słupski";"96418"
"2212011";"Ustka (1)";"14321"
"2212022";"Damnica (2)";"5841"
"2212032";"Dębnica Kaszubska (2)";"9183"
"2212042";"Główczyce (2)";"8526"
"2212053";"Kępice (3)";"8463"
"2212054";"Kępice - miasto (4)";"3418"
"2212055";"Kępice - obszar wiejski (5)";"5045"
"2212062";"Kobylnica (2)";"13450"
"2212072";"Potęgowo (2)";"6645"
"2212082";"Redzikowo (2)";"18756"
"2212092";"Smołdzino (2)";"3104"
"2212102";"Ustka (2)";"8129"
"2213000";"Powiat starogardzki";"125854"
"2213013";"Czarna Woda (3)";"3108"
"2213014";"Czarna Woda - miasto (4)";"2741"
"2213015";"Czarna Woda - obszar wiejski (5)";"367"
"2213021";"Skórcz (1)";"3513"
"2213031";"Starogard Gdański (1)";"46373"
"2213042";"Bobowo (2)";"3117"
"2213052";"Kaliska (2)";"5324"
"2213062";"Lubichowo (2)";"6731"
"2213072";"Osieczna (2)";"2733"
"2213082";"Osiek (2)";"2263"
"2213093";"Skarszewy (3)";"14481"
"2213094";"Skarszewy - miasto (4)";"6851"
"2213095";"Skarszewy - obszar wiejski (5)";"7630"
"2213102";"Skórcz (2)";"4335"
"2213112";"Smętowo Graniczne (2)";"4926"
"2213122";"Starogard Gdański (2)";"16925"
"2213132";"Zblewo (2)";"12025"
"2214000";"Powiat tczewski";"112542"
"2214011";"Tczew (1)";"57990"
"2214023";"Gniew (3)";"14708"
"2214024";"Gniew - miasto (4)";"6285"
"2214025";"Gniew - obszar wiejski (5)";"8423"
"2214032";"Morzeszczyn (2)";"3367"
"2214043";"Pelplin (3)";"15486"
"2214044";"Pelplin - miasto (4)";"7456"
"2214045";"Pelplin - obszar wiejski (5)";"8030"
"2214052";"Subkowy (2)";"5364"
"2214062";"Tczew (2)";"15627"
"2215000";"Powiat wejherowski";"224619"
"2215011";"Reda (1)";"28190"
"2215021";"Rumia (1)";"51879"
"2215031";"Wejherowo (1)";"47357"
"2215042";"Choczewo (2)";"5115"
"2215052";"Gniewino (2)";"7391"
"2215062";"Linia (2)";"6372"
"2215072";"Luzino (2)";"17067"
"2215082";"Łęczyce (2)";"12063"
"2215092";"Szemud (2)";"20149"
"2215102";"Wejherowo (2)";"29036"
"2216000";"Powiat sztumski";"39479"
"2216013";"Dzierzgoń (3)";"8963"
"2216014";"Dzierzgoń - miasto (4)";"5129"
"2216015";"Dzierzgoń - obszar wiejski (5)";"3834"
"2216022";"Mikołajki Pomorskie (2)";"3441"
"2216032";"Stary Dzierzgoń (2)";"3567"
"2216042";"Stary Targ (2)";"5993"
"2216053";"Sztum (3)";"17515"
"2216054";"Sztum - miasto (4)";"9515"
"2216055";"Sztum - obszar wiejski (5)";"8000"
"2261000";"Powiat m. Gdańsk";"486022"
"2261011";"Gdańsk (1)";"486022"
"2262000";"Powiat m. Gdynia";"245222"
"2262011";"Gdynia (1)";"245222"
"2263000";"Powiat m. Słupsk";"87660"
"2263011";"Słupsk (1)";"87660"
"2264000";"Powiat m. Sopot";"32962"
"2264011";"Sopot (1)";"32962"
"2400000";"ŚLĄSKIE";"4402950"
"2401000";"Powiat będziński";"147259"
"2401011";"Będzin (1)";"55695"
"2401021";"Czeladź (1)";"30681"
"2401031";"Wojkowice (1)";"8604"
"2401042";"Bobrowniki (2)";"12419"
"2401052";"Mierzęcice (2)";"7849"
"2401062";"Psary (2)";"12388"
"2401073";"Siewierz (3)";"12681"
"2401074";"Siewierz - miasto (4)";"5635"
"2401075";"Siewierz - obszar wiejski (5)";"7046"
"2401081";"Sławków (1)";"6942"
"2402000";"Powiat bielski";"165593"
"2402011";"Szczyrk (1)";"5496"
"2402022";"Bestwina (2)";"12067"
"2402032";"Buczkowice (2)";"11220"
"2402043";"Czechowice-Dziedzice (3)";"44831"
"2402044";"Czechowice-Dziedzice - miasto (4)";"35261"
"2402045";"Czechowice-Dziedzice - obszar wiejski (5)";"9570"
"2402052";"Jasienica (2)";"24865"
"2402062";"Jaworze (2)";"7325"
"2402072";"Kozy (2)";"13098"
"2402082";"Porąbka (2)";"15417"
"2402093";"Wilamowice (3)";"17891"
"2402094";"Wilamowice - miasto (4)";"3164"
"2402095";"Wilamowice - obszar wiejski (5)";"14727"
"2402102";"Wilkowice (2)";"13383"
"2403000";"Powiat cieszyński";"176743"
"2403011";"Cieszyn (1)";"33958"
"2403021";"Ustroń (1)";"16118"
"2403031";"Wisła (1)";"10887"
"2403042";"Brenna (2)";"11692"
"2403052";"Chybie (2)";"9646"
"2403062";"Dębowiec (2)";"5778"
"2403072";"Goleszów (2)";"13139"
"2403082";"Hażlach (2)";"10803"
"2403092";"Istebna (2)";"12150"
"2403103";"Skoczów (3)";"26390"
"2403104";"Skoczów - miasto (4)";"13814"
"2403105";"Skoczów - obszar wiejski (5)";"12576"
"2403113";"Strumień (3)";"13265"
"2403114";"Strumień - miasto (4)";"3608"
"2403115";"Strumień - obszar wiejski (5)";"9657"
"2403122";"Zebrzydowice (2)";"12917"
"2404000";"Powiat częstochowski";"133175"
"2404013";"Blachownia (3)";"12724"
"2404014";"Blachownia - miasto (4)";"9334"
"2404015";"Blachownia - obszar wiejski (5)";"3390"
"2404022";"Dąbrowa Zielona (2)";"3731"
"2404032";"Janów (2)";"5898"
"2404042";"Kamienica Polska (2)";"5455"
"2404052";"Kłomnice (2)";"13133"
"2404063";"Koniecpol (3)";"8960"
"2404064";"Koniecpol - miasto (4)";"5582"
"2404065";"Koniecpol - obszar wiejski (5)";"3378"
"2404072";"Konopiska (2)";"10737"
"2404082";"Kruszyna (2)";"4711"
"2404092";"Lelów (2)";"4669"
"2404102";"Mstów (2)";"10829"
"2404112";"Mykanów (2)";"15401"
"2404122";"Olsztyn (2)";"8179"
"2404132";"Poczesna (2)";"12598"
"2404142";"Przyrów (2)";"3628"
"2404152";"Rędziny (2)";"9665"
"2404162";"Starcza (2)";"2857"
"2405000";"Powiat gliwicki";"113703"
"2405011";"Knurów (1)";"36498"
"2405021";"Pyskowice (1)";"17394"
"2405032";"Gierałtowice (2)";"12462"
"2405042";"Pilchowice (2)";"12370"
"2405052";"Rudziniec (2)";"10891"
"2405063";"Sośnicowice (3)";"8910"
"2405064";"Sośnicowice - miasto (4)";"1940"
"2405065";"Sośnicowice - obszar wiejski (5)";"6970"
"2405073";"Toszek (3)";"9315"
"2405074";"Toszek - miasto (4)";"3557"
"2405075";"Toszek - obszar wiejski (5)";"5758"
"2405082";"Wielowieś (2)";"5863"
"2406000";"Powiat kłobucki";"83211"
"2406013";"Kłobuck (3)";"19954"
"2406014";"Kłobuck - miasto (4)";"12513"
"2406015";"Kłobuck - obszar wiejski (5)";"7441"
"2406023";"Krzepice (3)";"8734"
"2406024";"Krzepice - miasto (4)";"4244"
"2406025";"Krzepice - obszar wiejski (5)";"4490"
"2406032";"Lipie (2)";"6067"
"2406042";"Miedźno (2)";"7472"
"2406052";"Opatów (2)";"6684"
"2406062";"Panki (2)";"4902"
"2406072";"Popów (2)";"5784"
"2406082";"Przystajń (2)";"5766"
"2406092";"Wręczyca Wielka (2)";"17848"
"2407000";"Powiat lubliniecki";"75715"
"2407011";"Lubliniec (1)";"23660"
"2407022";"Boronów (2)";"3333"
"2407032";"Ciasna (2)";"7342"
"2407042";"Herby (2)";"6538"
"2407052";"Kochanowice (2)";"6909"
"2407062";"Koszęcin (2)";"11967"
"2407072";"Pawonków (2)";"6511"
"2407083";"Woźniki (3)";"9455"
"2407084";"Woźniki - miasto (4)";"4228"
"2407085";"Woźniki - obszar wiejski (5)";"5227"
"2408000";"Powiat mikołowski";"99429"
"2408011";"Łaziska Górne (1)";"21592"
"2408021";"Mikołów (1)";"41266"
"2408031";"Orzesze (1)";"21631"
"2408042";"Ornontowice (2)";"6178"
"2408052";"Wyry (2)";"8762"
"2409000";"Powiat myszkowski";"69124"
"2409011";"Myszków (1)";"30415"
"2409023";"Koziegłowy (3)";"14255"
"2409024";"Koziegłowy - miasto (4)";"2409"
"2409025";"Koziegłowy - obszar wiejski (5)";"11846"
"2409032";"Niegowa (2)";"5430"
"2409042";"Poraj (2)";"10772"
"2409053";"Żarki (3)";"8252"
"2409054";"Żarki - miasto (4)";"4434"
"2409055";"Żarki - obszar wiejski (5)";"3818"
"2410000";"Powiat pszczyński";"111003"
"2410012";"Goczałkowice-Zdrój (2)";"6621"
"2410022";"Kobiór (2)";"5088"
"2410032";"Miedźna (2)";"16154"
"2410042";"Pawłowice (2)";"17758"
"2410053";"Pszczyna (3)";"52844"
"2410054";"Pszczyna - miasto (4)";"25565"
"2410055";"Pszczyna - obszar wiejski (5)";"27279"
"2410062";"Suszec (2)";"12538"
"2411000";"Powiat raciborski";"101615"
"2411011";"Racibórz (1)";"51257"
"2411022";"Kornowac (2)";"5164"
"2411033";"Krzanowice (3)";"5393"
"2411034";"Krzanowice - miasto (4)";"2039"
"2411035";"Krzanowice - obszar wiejski (5)";"3354"
"2411042";"Krzyżanowice (2)";"10835"
"2411053";"Kuźnia Raciborska (3)";"10812"
"2411054";"Kuźnia Raciborska - miasto (4)";"4794"
"2411055";"Kuźnia Raciborska - obszar wiejski (5)";"6018"
"2411062";"Nędza (2)";"6739"
"2411072";"Pietrowice Wielkie (2)";"6531"
"2411082";"Rudnik (2)";"4884"
"2412000";"Powiat rybnicki";"76913"
"2412013";"Czerwionka-Leszczyny (3)";"40734"
"2412014";"Czerwionka-Leszczyny - miasto (4)";"27014"
"2412015";"Czerwionka-Leszczyny - obszar wiejski (5)";"13720"
"2412022";"Gaszowice (2)";"9796"
"2412032";"Jejkowice (2)";"4153"
"2412042";"Lyski (2)";"9708"
"2412052";"Świerklany (2)";"12522"
"2413000";"Powiat tarnogórski";"139061"
"2413011";"Kalety (1)";"8252"
"2413021";"Miasteczko Śląskie (1)";"7103"
"2413031";"Radzionków (1)";"16253"
"2413041";"Tarnowskie Góry (1)";"61288"
"2413052";"Krupski Młyn (2)";"3081"
"2413062";"Ożarowice (2)";"5853"
"2413072";"Świerklaniec (2)";"12799"
"2413082";"Tworóg (2)";"8232"
"2413092";"Zbrosławice (2)";"16200"
"2414000";"Powiat bieruńsko-lędziński";"59438"
"2414011";"Bieruń (1)";"19100"
"2414021";"Imielin (1)";"9313"
"2414031";"Lędziny (1)";"16530"
"2414042";"Bojszowy (2)";"8207"
"2414052";"Chełm Śląski (2)";"6288"
"2415000";"Powiat wodzisławski";"152619"
"2415011";"Pszów (1)";"13295"
"2415021";"Radlin (1)";"17206"
"2415031";"Rydułtowy (1)";"20749"
"2415041";"Wodzisław Śląski (1)";"45949"
"2415052";"Godów (2)";"13715"
"2415062";"Gorzyce (2)";"21072"
"2415072";"Lubomia (2)";"7690"
"2415082";"Marklowice (2)";"5366"
"2415092";"Mszana (2)";"7577"
"2416000";"Powiat zawierciański";"114665"
"2416011";"Poręba (1)";"8288"
"2416021";"Zawiercie (1)";"47689"
"2416032";"Irządze (2)";"2542"
"2416042";"Kroczyce (2)";"6138"
"2416053";"Łazy (3)";"15737"
"2416054";"Łazy - miasto (4)";"6591"
"2416055";"Łazy - obszar wiejski (5)";"9146"
"2416063";"Ogrodzieniec (3)";"9045"
"2416064";"Ogrodzieniec - miasto (4)";"4222"
"2416065";"Ogrodzieniec - obszar wiejski (5)";"4823"
"2416073";"Pilica (3)";"8246"
"2416074";"Pilica - miasto (4)";"1790"
"2416075";"Pilica - obszar wiejski (5)";"6456"
"2416083";"Szczekociny (3)";"7264"
"2416084";"Szczekociny - miasto (4)";"3436"
"2416085";"Szczekociny - obszar wiejski (5)";"3828"
"2416092";"Włodowice (2)";"5210"
"2416102";"Żarnowiec (2)";"4506"
"2417000";"Powiat żywiecki";"150339"
"2417011";"Żywiec (1)";"30334"
"2417022";"Czernichów (2)";"6542"
"2417032";"Gilowice (2)";"6266"
"2417042";"Jeleśnia (2)";"12867"
"2417052";"Koszarawa (2)";"2252"
"2417062";"Lipowa (2)";"10771"
"2417072";"Łękawica (2)";"4498"
"2417082";"Łodygowice (2)";"14948"
"2417092";"Milówka (2)";"9930"
"2417102";"Radziechowy-Wieprz (2)";"12909"
"2417112";"Rajcza (2)";"8552"
"2417122";"Ślemień (2)";"3534"
"2417132";"Świnna (2)";"7962"
"2417142";"Ujsoły (2)";"4294"
"2417152";"Węgierska Górka (2)";"14680"
"2461000";"Powiat m. Bielsko-Biała";"169089"
"2461011";"Bielsko-Biała (1)";"169089"
"2462000";"Powiat m. Bytom";"153274"
"2462011";"Bytom (1)";"153274"
"2463000";"Powiat m. Chorzów";"104193"
"2463011";"Chorzów (1)";"104193"
