NAZWA|WOJEWÓDZTWO|POWIAT|MIEJSCOWOŚĆ|ULICA|NRDOMU|KOD POCZTOWY|NRTEL||NRFAX|NR FAXU 2    wraz z nr kierunkowym|EMAIL|ADRES 2 E-MAIL URZĘDU|WWW|SZEROKOŚĆ GEOGRAFICZNA|DŁUGOŚĆ GEOGRAFICZNA|@lat|@lon|@id
Graniczna Stacja Sanitarno-Epidemiologiczna w Gdyni|pomorskie||Gdynia|Kontenerowa|69|81-155|58 620 81 15|882085679|58 621 33 99||gsse.gdynia@pis.gov.pl|sekretariat@gsse.eu|http://gsse.eu/|54.5507|18.4929|54.5474374|18.5046392|
Graniczny Punkt Kontroli Sanitarno-Epidemiologicznej w Gdańsku|pomorskie||Gdańsk|Oliwska|14/15|80-542|58 343 09 48|608358721|58 343 28 09||gdansk@gsse.eu|dct@gsse.eu|http://gsse.eu/|54.4024|18.6702|54.4023856|18.670209327|
Graniczny Punkt Kontroli Sanitarno-Epidemiologicznej w Ustce|pomorskie|słupski|Ustka|Marynarki Polskiej|5|76-270|59 814 45 48||59 814 45 48||ustka@gsse.eu||http://gsse.eu/|54.5872|16.8544|54.5872358|16.854436676|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Bytowie|pomorskie|bytowski|Bytów|Generała Sikorskiego|27|77-100|59 822 36 85|222500115|59 822 36 85||psse.bytow@pis.gov.pl|sekretariat@psse.bytow.pl|https://www.gov.pl/web/psse-bytow/kontakt2|54.1718|17.4903|54.17185465|17.490340781|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Chojnicach|pomorskie|chojnicki|Chojnice|Józefa Piłsudskiego|39|89-620|52 397 63 95|22 250 01 15|52 396 80 81||psse.chojnice@pis.gov.pl||http://www.psse.chojnice.pl/|53.6911|17.5699|53.69117355|17.569968662|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Człuchowie|pomorskie|człuchowski|Człuchów|Jana III Sobieskiego|4|77-300|59 83 45 266|22 250 01 15|59 834 15 51||psse.czluchow@pis.gov.pl||https://www.gov.pl/web/psse-czluchow|53.6619|17.3538|53.66193135|17.353846555|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Gdańsku|pomorskie|m. Gdańsk|Gdańsk|Wałowa|27|80-858|58 320 08 00|22 250 01 15|58 301 85 45||psse.gdansk@pis.gov.pl|kancelaria@psse.gda.pl|http://www.psse.gda.pl/|54.3588|18.653|54.3588089|18.653864465|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Gdyni|pomorskie|m. Gdynia|Gdynia|Starowiejska|50|81-356|58 620 17 98|22 250 01 15|58 620 57 44||psse.gdynia@pis.gov.pl|kancelaria@psse.gdynia.pl|https://psse.gdynia.pl/|54.5212|18.5336|54.5212301|18.533637811|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Kartuzach|pomorskie|kartuski|Kartuzy|Sambora|30a|83-300|58 681 24 88|22 250 01 15|58 681 07 21||psse.kartuzy@pis.gov.pl||http://pssekartuzy.pis.gov.pl|54.341|18.2008|54.3410051|18.20088547|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Kościerzynie|pomorskie|kościerski|Kościerzyna|Wodna|15|83-400|58 686 69 48|22 250 01 15|58 686 33 64||psse.koscierzyna@pis.gov.pl||http://pssekoscierzyna.pis.gov.pl/|54.1224|17.9804|54.1224413|17.9804855|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Kwidzynie|pomorskie|kwidzyński|Kwidzyn|Fryderyka Chopina|40|82-500|55 279 38 15|22 250 01 15|55 279 22 49||psse.kwidzyn@pis.gov.pl||http://www.pssekwidzyn.pl/|53.7315|18.9319|53.7315589|18.93199443|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Lęborku|pomorskie|lęborski|Lębork|Gdańska|63|84-300|59 862 10 10|22 250 01 15|59 862 19 28||psse.lebork@pis.gov.pl||https://www.gov.pl/web/psse-lebork|54.547|17.7663|54.54700985|17.766342877|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Malborku|pomorskie|malborski|Malbork|Słowackiego|64|82-200|55 647 25 55|22 250 01 15|55 647 25 55||psse.malbork@pis.gov.pl||http://pssemalbork.pis.gov.pl/|54.0297|19.0231|54.0301703|19.023216514|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Nowym Dworze Gdańskim|pomorskie|nowodworski|Nowy Dwór Gdański|Dworcowa|14|82-100|55 247 57 01|513025100|55 247 57 01||psse.nowydworgdanski@pis.gov.pl||https://www.gov.pl/web/psse-nowy-dwor-gdanski|54.2115|19.1205|54.21158275|19.120457364|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Pruszczu Gdańskim|pomorskie|gdański|Pruszcz Gdański|Grunwaldzka|25|83-000|58 683 54 12|503397415|58 683 54 12||psse.pruszczgdanski@pis.gov.pl|sekretariat@psse.powiat-gdanski.pl|http://pssepruszczgd.pis.gov.pl/|54.2612|18.6364|54.26123065|18.636483447|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Sopocie|pomorskie|m. Sopot|Sopot|Kościuszki|23|81-704|58 551 06 35|22 250 01 15|58 551 06 65||psse.sopot@pis.gov.pl||http://www.psse.sopot.pl/|54.4402|18.5656|54.4402768|18.565697477|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Starogardzie Gdańskim|pomorskie|starogardzki|Starogard Gdański|Kanałowa|5|83-200|58 562 40 12|22 250 01 15|58 562 40 11||psse.starogardgdanski@pis.gov.pl||http://www.psse-starogard.pl/|53.9689|18.5328|53.9689529|18.532905829|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Słupsku|pomorskie|słupski|Słupsk|Piotra Skargi|8|76-200|59 843 12 91|22 250 01 15|59 843 81 55||psse.slupsk@pis.gov.pl||http://psseslupsk@pis.gov.pl|54.4648|17.0130|54.4648735|17.0130608|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Tczewie|pomorskie|tczewski|Tczew|Obrońców Westerplatte|10|83-110|58 531 39 31|22 250 01 15|58 531 27 30||psse.tczew@pis.gov.pl|sekretariat@psse.tczew.pl|http://pssetczew.pis.gov.pl/|54.0895|18.7952|54.08953|18.79528|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Wejherowie|pomorskie|wejherowski|Wejherowo|Obrońców Helu|3|84-200|58 677 79 03|697611090|58 677 79 03||psse.wejherowo@pis.gov.pl||http://psse-wejherowo.pl|54.6087|18.2465|54.6086801|18.2471087|
Wojewódzka Stacja Sanitarno-Epidemiologiczna w Katowicach|śląskie||Katowice|ul. Raciborska|39|40-074|32 351 23 00||32 351 23 18||wsse.katowice@pis.gov.pl||www.gov.pl/wsse-katowice|50.2550|19.0015|50.2546524|19.0011822|node/1588863641
Wojewódzka Stacja Sanitarno-Epidemiologiczna w Kielcach|Świętokrzyskie||Kielce|Jagiellońska|68|25-734|22 250 01 15||41 345 18 73||wsse.kielce@pis.gov.pl|sekretariat@wsse-kielce.pl|www.gov.pl/web/wsse-kielce|50.8723|20.6052|50.8722807|20.6051764|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Busku-Zdroju|świętokrzyskie|buski|Busko-Zdrój|Stefana Batorego|2|28-100|22 250 01 15||41 378 27 88||psse.buskozdroj@pis.gov.pl|psse.busko@wsse-kielce.pl|www.gov.pl/web/psse-busko-zdroj|50.4687|20.72|50.4688829|20.7199076|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Kielcach|świętokrzyskie|kielecki|Kielce|Skibińskiego|4|25-819|22 250 01 15||41 345 46 23||psse.kielce@pis.gov.pl||www.gov.pl/web/psse-kielce|50.856|20.5542|50.8559704|20.554282436|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Końskich|świętokrzyskie|konecki|Końskie|Sportowa|7|26-200|22 250 01 15||41 372 33 62||psse.konskie@pis.gov.pl||www.gov.pl/web/psse-konskie|51.1892|20.422|51.18911955|20.42195778|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Opatowie|świętokrzyskie|opatowski|Opatów|Stefanii Sempołowskiej|3|27-500|22 250 01 15||15 868 21 49||psse.opatow@pis.gov.pl||www.gov.pl/web/psse-opatow|50.8037|21.4284|50.8044537|21.429522911|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Ostrowcu-Świętokrzyskim|świętokrzyskie|ostrowiecki|Ostrowiec Świętokrzyski|Smolna|3|27-400|22 250 01 15||41 247 96 97||psse.ostrowiec@pis.gov.pl||www.gov.pl/web/psse-ostrowiec-swietokrzyski|50.9353|21.3833|50.9352936|21.383285989|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Skarżysku-Kamiennej|świętokrzyskie|skarżyski|Skarżysko-Kamienna|Czerwonego Krzyża|10|26-110|22 250 01 15||41 251 18 67||psse.skarzyskokam@pis.gov.pl||www.gov.pl/web/psse-skarzysko-kamienna|51.1179|20.8922|51.1177975|20.892232094|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Starachowicach|świętokrzyskie|starachowicki|Starachowice|Złota|6|27-200|22 250 01 15||41 274 62 67 wew. 23||psse.starachowice@pis.gov.pl||www.gov.pl/web/psse-starachowice|51.0506|21.0847|51.0505649|21.084666841|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Staszowie|świętokrzyskie|staszowski|Staszów|Szpitalna|37/14|28-200|22 250 01 15||15 864 39 96||psse.staszow@pis.gov.pl||www.gov.pl/web/psse-staszow|50.5608|21.1711|50.5626079|21.1707447|
Powiatowa Stacja Sanitarno-Epidemiologiczna we Włoszczowie|świętokrzyskie|włoszczowski|Włoszczowa|Jana III Sobieskiego|38|29-100|22 250 01 15||41 394 34 96||psse.wloszczowa@pis.gov.pl||www.gov.pl/web/psse-wloszczowa|50.8532|19.9582|50.85318905|19.957995002|
Wojewódzka Stacja Sanitarno-Epidemiologiczna w Olsztynie|warmińsko-mazurskie|m. Olsztyn|Olsztyn|Żołnierska|16|10-561|(89) 524-83-00||(89) 679 -16 -99||wsse.olsztyn@pis.gov.pl|wsse@wsse.olsztyn.pl|www.wsse.olsztyn.pl|53.7706|20.4904|53.7705631|20.490278679|
Powiatowa Stacja Sanitarno-Epidemiologiczna Bartoszyce|warmińsko-mazurskie|bartoszycki|Bartoszyce|Bohaterów Warszawy|12|11-200|(89)762-21-50||(89)762-21-50||psse.bartoszyce@sanepid.olsztyn.pl||www.bip.psse-bartoszyce.pl|54.2475|20.8141|54.247488|20.814013667|
Powiatowa Stacja Sanitarno-Epidemiologiczna Braniewo|warmińsko-mazurskie|braniewski|Braniewo|Królewiecka|26|14-500|(55)243-23-81|(55) 243-25-45|(55)243-23-81||psse.braniewo@sanepid.olsztyn.pl|psse.braniewo@pis.gov.pl|www.sanepidbraniewo.pl|54.3854|19.8298|54.38560715|19.830015652|
Powiatowa Stacja Sanitarno-Epidemiologiczna Działdowo|warmińsko-mazurskie|działdowski|Działdowo|Pl. Biedrawy|5|13-200|(23)697-26-34|23697-26-36|(23)697-26-34|23697-51-86|psse.dzialdowo@sanepid.olsztyn.pl|psse.dzialdowo@pis.gov.pl|www.bip.visacom.pl/psse_dzialdowo|53.2330|20.1777|53.2330883|20.17786916|
Powiatowa Stacja Sanitarno-Epidemiologiczna Elbląg|warmińsko-mazurskie|m. Elbląg|Elbląg|Królewiecka|195|82-300|(55)232-32-60||(55)232-74-31||psse.elblag@pis.gov.pl|psse.elblag@sanepid.olsztyn.pl|www.psseelblag.nowybip.pl|54.1788|19.4247|54.1787487|19.424637265|
Powiatowa Stacja Sanitarno-Epidemiologiczna Ełk|warmińsko-mazurskie|ełcki|Ełk|Toruńska|6a/1|19-300|(87)621-77-50||(87)621-77-64||psse.elk@sanepid.olsztyn.pl|psse_elk@visacom.pl|www.bip.visacom.pl/psse_elk|53.8288|22.3517|53.8288601|22.3520011|node/1754825666
Powiatowa Stacja Sanitarno-Epidemiologiczna Giżycko|warmińsko-mazurskie|giżycki|Giżycko|Suwalska|3|11-500|(87)428-54-98||(87) 428-58-74||psse.gizycko@sanepid.olsztyn.pl||pssegizycko.bip.visacom.pl|54.0365|21.7840|54.0365647|21.784019851|
Powiatowa Stacja Sanitarno-Epidemiologiczna Gołdap|warmińsko-mazurskie|gołdapski|Gołdap|Wolności|11|19-500|(87)615-15-47||(87)615-06-77||psse_goldap@sanepid.mail.pl|psse_goldap@visacom.pl|www.bip.visacom.pl/psse_goldap|54.3049|22.3014|54.30488635|22.301479104|
Powiatowa Stacja Sanitarno-Epidemiologiczna Iława|warmińsko-mazurskie|iławski|Iława|Sienkiewicza|10|14-200|(89)649-04-20||(89)649-04-21||psse.ilawa@sanepid.olsztyn.pl||www.bip.visacom.pl/psse_ilawa|53.5991|19.5519|53.59915965|19.551989472|
Powiatowa Stacja Sanitarno-Epidemiologiczna Lidzbark Warmiński|warmińsko-mazurskie|lidzbarski|Lidzbark Warmiński|Orła Białego|6|11-100|(89)767-23-22||(89)767-25-82||psse.lidzbarkwarm@sanepid.olsztyn.pl||www.lidzbarkwarm.com|54.1250|20.5862|54.1250347|20.586218|
Powiatowa Stacja Sanitarno-Epidemiologiczna Mrągowo|warmińsko-mazurskie|mrągowski|Mrągowo|Królewiecka|60B|11-700|(89)741-26-34||(89)741-09-60||psse.mragowo@sanepid.olsztyn.pl|psse.mragowo.sekretariat@sanepid.olsztyn.pl|www.bip.visacom.pl/psse_mragowo|53.8760|21.3051|53.87595905|21.305149631|
Powiatowa Stacja Sanitarno-Epidemiologiczna Nidzica|warmińsko-mazurskie|nidzicki|Nidzica|Żeromskiego|8|13-100|(89)625-20-81||(89)625-83-20||psse.nidzica@sanepid.olsztyn.pl|psse.nidzica@pis.gov.pl|www.sanepid.nidzica.pl|53.3578|20.4282|53.357856|20.428262337|
Powiatowa Stacja Sanitarno-Epidemiologiczna Nowe Miasto Lubawskie|warmińsko-mazurskie|nowomiejski|Nowe Miasto Lubawskie|Grunwaldzka|3|13-300|(56)474-26-92||(56)491-14-08||psse.nowemiastolubawskie@sanepid.olsztyn.pl||psse.nowemiastolubawskie.ibip.pl/public|53.4276|19.5881|53.42752|19.58821|
Powiatowa Stacja Sanitarno-Epidemiologiczna Olecko|warmińsko-mazurskie|olecki|Olecko|Wojska Polskiego|13|19-400|(87)520-30-55||(87)520-20-65||psse.olecko@sanepid.olsztyn.pl||www.visacom.pl/bip2/?ident=12&layout=|54.0356|22.4965|54.03565|22.49633|
Powiatowa Stacja Sanitarno-Epidemiologiczna Olsztyn|warmińsko-mazurskie|olsztyński|Olsztyn|Żołnierska|16|10-561|(89) 527-43-10||(89) 527-43-10||psse_olsztyn@visacom.pl||bip.visacom.pl/psse_olsztyn|53.7706|20.4904|53.7705631|20.490278679|
Powiatowa Stacja Sanitarno-Epidemiologiczna Ostróda|warmińsko-mazurskie|ostródzki|Ostróda|Kościuszki|2|14-100|(89)646-08-70||(89)646-08-80||psse_ostroda@visacom.pl|psse.ostroda@sanepid.olsztyn.pl|www.bip.visacom.pl/psse_ostroda|53.6967|19.9631|53.6967549|19.9632089|
Powiatowa Stacja Sanitarno-Epidemiologiczna Pisz|warmińsko-mazurskie|piski|Pisz|Warszawska|5|12-200|(87)423-23-78||(87)423-27-80||psse.pisz@sanepid.olsztyn.pl||www.bip.visacom.pl/psse_pisz|53.6259|21.8125|53.6258557|21.81255575|
Powiatowa Stacja Sanitarno-Epidemiologiczna Węgorzewo|warmińsko-mazurskie|węgorzewski|Węgorzewo|3 Maja|17B|11-600|(87)427-28-13||(87)427-28-83||psse.wegorzewo@sanepid.olsztyn.pl|psse_wegorzewo@visacom.pl|http://www.pssewegorzewo.bip.visacom.pl|54.2074|21.7379|54.2074462|21.7380414|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Nowym Tomyślu|Wielkopolskie|nowotomyski|Nowy Tomyśl|pl. Niepodległości|4|64-300|61 442 08 00||61 442 28 69||psse.nowytomysl@pis.gov.pl|sekretariat@psse-nowytomysl.pl|http://www.psse-nowytomysl.pl/|52.3172|16.1291|52.31724|16.12919|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Ostrowie|Wielkopolskie|ostrowski|Ostrów Wielkopolski|pl. Stefana Rowińskiego|3|63-400|62 737 89 00||62 737 89 20||psse.ostrowwlkp@pis.gov.pl|sekretariat@psse-ostrowwlkp.pl|http://www.psse-ostrow.pl/|51.6487|17.8191|51.649104|17.819139345|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Pile|Wielkopolskie|pilski|Piła|al. Wojska Polskiego|43|64-920|67 212 52 98||67 351 98 80||psse.pila@pis.gov.pl|sekretariat@psse-pila.pl|http://www.psse-pila.pl/|53.1529|16.7163|53.15232315|16.717865936|
Powiatowa Stacja Sanitarno-Epidemiologiczna w Wałczu|zachodniopomorskie|wałecki|Wałcz|al. Zdobywców Wału Pomorskiego|54|78-600|67 258 23 31||67 258 23 31||psse.walcz@pis.gov.pl|psse.walcz@wsse.szczecin.pl|pssewalcz.pis.gov.pl|53.2669|16.4609|53.2671106|16.4614457|
Wojewódzka Stacja Sanitarno-Epidemiologiczna w Bydgoszczy|kujawsko-pomorskie||Bydgoszcz|Kujawska|4|85-031|52 376-18-00||52 345-98-40||wsse.bydgoszcz@pis.gov.pl||www.pwisbydgoszcz.pl/|53.1186|18.0057|53.1187300|18.0054598|node/2779676801
Wojewódzka Stacja Sanitarno-Epidemiologiczna w Białymstoku|podlaskie||Białystok|Legionowa|8|15-099|85 740 85 40|85 732 70 22|85 740 48 99||sekretariat@bialystok.wsse.gov.pl||http://www.gov.pl/web/wsse-bialystok|53.1309|23.1603|53.13093865|23.160127891|
