WOJEWÓDZTWO,TYP,NAZWA URZĘDU,KOD,MIASTO,ULICA,NR BUDYNKU / LOKALU,POCZTA,NR TELEFONU   wraz z nr kierunkowym,NR FAXU,ADRES E-MAIL URZĘDU,kod jednostki,ADRESY STRON BIP JEDNOSTEK KAS
małopolskie,IAS,Izba Administracji Skarbowej w Krakowie,31-007,Kraków,Wiślna ,7,Kraków,(12) 255-73-00,(12) 422-43-86,ias.krakow@mf.gov.pl,1201,www.malopolskie.kas.gov.pl
małopolskie,US,Urząd Skarbowy w Bochni,32-700,Bochnia,Gołębia ,3,Bochnia,(14) 615-26-00 ,(14) 615-26-53 ,us.bochnia@mf.gov.pl,1202,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-bochni
małopolskie,US,Urząd Skarbowy w Brzesku,32-800,Brzesko,Królowej Jadwigi ,16,Brzesko,(14) 663-28-23,(14) 663-08-42,us.brzesko@mf.gov.pl,1203,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-brzesku
małopolskie,US,Urząd Skarbowy w Chrzanowie,32-500,Chrzanów,Garncarska ,9,Chrzanów,(32) 625-71-00,(32) 627-62-62,us.chrzanow@mf.gov.pl,1204,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-chrzanowie
małopolskie,US,Urząd Skarbowy w Dąbrowie Tarnowskiej,33-200,Dąbrowa Tarnowska,Berka Joselewicza ,5,Dąbrowa Tarnowska,(14) 642-20-31,(14) 642-55-31,us.dabrowa-tarnowska@mf.gov.pl,1205,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-dabrowie-tarnowskiej
małopolskie,US,Urząd Skarbowy w Gorlicach,38-300,Gorlice,Bardiowska ,9,Gorlice,(18) 545-02-00,(18) 545-02-05,us.gorlice@mf.gov.pl,1206,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-gorlicach
małopolskie,US,Pierwszy Urząd Skarbowy Kraków,30-363,Kraków,Rzemieślnicza ,20,Kraków,(12) 384-60-00,(12) 384-63-00 ,1us.krakow@mf.gov.pl,1207,www.malopolskie.kas.gov.pl/pierwszy-urzad-skarbowy-krakow
małopolskie,US,Urząd Skarbowy Kraków - Krowodrza,30-016,Kraków,Władysława Łokietka,20,Kraków,(12) 29-92-100,(12) 665-61-36,us.krakow.krowodrza@mf.gov.pl,1208,www.malopolskie.kas.gov.pl/urzad-skarbowy-krakow-krowodrza
małopolskie,US,Urząd Skarbowy Kraków - Nowa Huta,31-621,Kraków,os. Bohaterów Września ,80,Kraków,(12) 681-70-00 ,(12) 647-92-22 ,us.krakow.nowa-huta@mf.gov.pl,1209 ,www.malopolskie.kas.gov.pl/urzad-skarbowy-krakow-nowa-huta
małopolskie,US,Urząd Skarbowy Kraków - Podgórze,30-415,Kraków,Wadowicka ,10,Kraków,(12) 254-70-00,(12) 267-40-91,us.krakow.podgorze@mf.gov.pl,1210,www.malopolskie.kas.gov.pl/urzad-skarbowy-krakow-podgorze
małopolskie,US,Urząd Skarbowy Kraków - Prądnik,31-272,Kraków,Krowoderskich Zuchów ,2,Kraków,(12) 665-61-00,(12) 665-67-51,us.krakow.pradnik@mf.gov.pl,1211,www.malopolskie.kas.gov.pl/urzad-skarbowy-krakow-pradnik
małopolskie,US,Urząd Skarbowy Kraków - Stare Miasto,31-001,Kraków,Grodzka ,65,Kraków,(12) 293-81-00,(12) 293-82-66,us.krakow.stare-miasto@mf.gov.pl,1212,www.malopolskie.kas.gov.pl/urzad-skarbowy-krakow-stare-miasto
małopolskie,US,Urząd Skarbowy Kraków - Śródmieście,31-272,Kraków,Krowoderskich Zuchów ,2,Kraków,(12) 665-62-00,(12) 634-34-24,us.krakow.srodmiescie@mf.gov.pl,1213,www.malopolskie.kas.gov.pl/urzad-skarbowy-krakow-srodmiescie
małopolskie,US,Urząd Skarbowy w Limanowej,34-600,Limanowa,Matki Boskiej Bolesnej ,9,Limanowa,(18) 337-93-00,(18) 337-93-08,us.limanowa@mf.gov.pl,1214,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-limanowej
małopolskie,US,Urząd Skarbowy w Miechowie,32-200,Miechów,Stanisławy Daneckiej ,1,Miechów,(41) 382-23-00,(41) 382-23-41,us.miechów@mf.gov.pl,1215,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-miechowie
małopolskie,US,Urząd Skarbowy w Myślenicach,32-400,Myślenice,Hipolita Cegielskiego ,2,Myślenice,(12) 274-24-20,(12) 272-41-00; (12) 272-41-11,us.myslenice@mf.gov.pl,1216,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-myslenicach
małopolskie,US,Urząd Skarbowy w Nowym Sączu,33-300 ,Nowy Sącz,Władysława Barbackiego  ,10,Nowy Sącz,(18) 547-38-08,(18) 547-38-01,us.nowy-sacz@mf.gov.pl,1217,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-nowym-saczu
małopolskie,US,Urząd Skarbowy w Nowym Targu,34-400,Nowy Targ,Parkowa ,13,Nowy Targ,(18) 263-04-00,(18) 266-29-33,us.nowy-targ@mf.gov.pl,1218,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-nowym-targu
małopolskie,US,Urząd Skarbowy w Olkuszu,32-300,Olkusz,Budowlanych ,2,Olkusz,(32) 645-02-20,(32) 641-38-14,us.olkusz@mf.gov.pl,1219,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-olkuszu
małopolskie,US,Urząd Skarbowy w Oświęcimiu,32-600,Oświęcim,Plebańska ,2,Oświęcim,(33) 846-64-40,(33) 846-64-41,us.oswiecim@mf.gov.pl,1220,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-oswiecimiu
małopolskie,US,Urząd Skarbowy w Proszowicach,32-100,Proszowice,Mikołaja Reja ,1,Proszowice,(12) 350-71-02,-,us.proszowice@mf.gov.pl,1221,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-proszowicach
małopolskie,US,Urząd Skarbowy w Suchej Beskidzkiej,34-200,Sucha Beskidzka,Adama Mickiewicza ,36,Sucha Beskidzka,(33) 874-45-01,(33) 874-35-29,us.sucha-beskidzka@mf.gov.pl,1222,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-suchej-beskidzkiej
małopolskie,US,Pierwszy Urząd Skarbowy w Tarnowie,33-100,Tarnów,Lwowska ,72-96A,Tarnów,(14) 630-23-00,(14) 630-23-10,1us.tarnow@mf.gov.pl,1223,www.malopolskie.kas.gov.pl/pierwszy-urzad-skarbowy-w-tarnowie
małopolskie,US,Drugi Urząd Skarbowy w Tarnowie ,33-100,Tarnów,Al.Solidarności ,5-9B,Tarnów,(14) 632-82-00,(14) 632-82-22,2us.tarnow@mf.gov.pl,1224,www.malopolskie.kas.gov.pl/drugi-urzad-skarbowy-w-tarnowie
małopolskie,US,Urząd Skarbowy w Wadowicach,34-100,Wadowice,Legionów ,22,Wadowice,(33) 872-39-00,(33) 873-26-10,us.wadowice@mf.gov.pl,1225,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-wadowicach
małopolskie,US,Urząd Skarbowy w Wieliczce,32-020,Wieliczka,Zamkowa ,2,Wieliczka,(12) 279-85-00,(12) 279-86-66,us.wieliczka@mf.gov.pl,1226,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-wieliczce
małopolskie,US,Urząd Skarbowy w Zakopanem,34-500,Zakopane,Szymony ,14,Zakopane,(18) 202-15-00,(18) 202-15-83,us.zakopane@mf.gov.pl,1227,www.malopolskie.kas.gov.pl/urzad-skarbowy-w-zakopanem
małopolskie,US,Drugi Urząd Skarbowy Kraków,31-272,Kraków,Krowoderskich Zuchów ,2,Kraków,(12) 665-63-00,(12) 631-54-50,2us.krakow@mf.gov.pl,1228,www.malopolskie.kas.gov.pl/drugi-urzad-skarbowy-krakow
małopolskie,WUS,Małopolski Urząd Skarbowy w Krakowie,31-621,Kraków,os. Bohaterów Września ,80,Kraków,(12) 681-70-00,(12) 647-70-56,malopolski.us@mf.gov.pl,1271,www.malopolskie.kas.gov.pl/malopolski-urzad-skarbowy-w-krakowie
małopolskie,UCS,Małopolski Urząd Celno-Skarbowy w Krakowie,31-223,Kraków,Pachońskiego,3A,Kraków,(12) 350-76-00,(12) 350-75-25,malopolskie.ucs@mf.gov.pl,358000,www.malopolskie.kas.gov.pl/malopolski-urzad-celno-skarbowy-w-krakowie
małopolskie,DUCS,Delegatura UCS w Krakowie,30-741,Kraków,Nad Drwiną ,16,Kraków,(12) 627-60-00,(12) 627-60-57,malopolskie.ucs@mf.gov.pl,351000,www.malopolskie.kas.gov.pl/malopolski-urzad-celno-skarbowy-w-krakowie
małopolskie,OC,Oddział Celny II w Krakowie,30-741,Kraków,Nad Drwiną ,16,Kraków,(12) 627 60 73,12 627 60 66,oc.krakow.malopolskie.ucs@mf.gov.pl,351020,www.malopolskie.kas.gov.pl/malopolski-urzad-celno-skarbowy-w-krakowie
małopolskie,OC,Oddział Celny Port Lotniczy Kraków-Balice,32-083,Balice,kpt.Medweckiego ,1,Kraków,(12) 639-32-36,(12) 285-50-52,oc.balice.malopolskie.ucs@mf.gov.pl,351030,www.malopolskie.kas.gov.pl/malopolski-urzad-celno-skarbowy-w-krakowie
małopolskie,OC,Oddział Celny w Chyżnem,34-481,Chyżne,Chyżne ,297,Chyżne ,"18 266 25 23, 18 261 33 65",18 266 28 35,oc.chyzne.malopolskie.ucs@mf.gov.pl,351050,www.malopolskie.kas.gov.pl/malopolski-urzad-celno-skarbowy-w-krakowie
małopolskie,OC,Oddział Celny w Andrychowie,34-120,Andrychów,Przemysłowa ,8,Andrychów,"33 875 27 23,33 875 80 03",33 875 27 23,oc.andrychow.malopolskie.ucs@mf.gov.pl,351060,www.malopolskie.kas.gov.pl/malopolski-urzad-celno-skarbowy-w-krakowie
małopolskie,DUCS,Delegatura UCS w Nowym Sączu,33-300,Nowy Sącz,Józefa Piłsudskiego ,50,Nowy Sącz,18 449 53 00,18 449 53 17,delegatura.nowy-sacz.malopolskie.ucs@mf.gov.pl,353000,www.malopolskie.kas.gov.pl/malopolski-urzad-celno-skarbowy-w-krakowie
małopolskie,OC,Oddział Celny w Nowym Sączu,33-300,Nowy Sącz,Józefa Piłsudskiego ,50,Nowy Sącz,18 449 53 32,18 449 53 36,oc.nowy-sacz.malopolskie.ucs@mf.gov.pl,353010,www.malopolskie.kas.gov.pl/malopolski-urzad-celno-skarbowy-w-krakowie
małopolskie,OC,Oddział Celny w Tarnowie,33-100,Tarnów,Przemysłowa ,27,Tarnów,14 629 80 85,14 629 80 30 ,oc.tarnow.malopolskie.ucs@mf.gov.pl,353030,www.malopolskie.kas.gov.pl/malopolski-urzad-celno-skarbowy-w-krakowie
mazowieckie,IAS,Izba Administracji Skarbowej w Warszawie,01-513,Warszawa,Alojzego Felińskiego ,2B,Warszawa,(22) 561-80-01,"(22) 561-81-90, (22) 561-83-94, (22) 561-82-90",ias.warszawa@mf.gov.pl,1401,www.mazowieckie.kas.gov.pl
mazowieckie,US,Urząd Skarbowy w Białobrzegach,26-800,Białobrzegi,Władysława Stanisława Reymonta,46,Białobrzegi,(48) 613-29-92; (48) 613-24-01,(48) 613-28-92,us.bialobrzegi@mf.gov.pl,1402,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-bialobrzegach
mazowieckie,US,Urząd Skarbowy w Ciechanowie,06-400,Ciechanów,Warszawska ,58,Ciechanów,(23) 674-19-00,(23) 674-19-03,us.ciechanow@mf.gov.pl,1403,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-ciechanowie
mazowieckie,US,Urząd Skarbowy w Garwolinie,08-400,Garwolin,Senatorska ,30,Garwolin,"(25) 682-39-30, (25) 682-38-54, (25) 682-36-47",(25) 682-38-28,us.garwolin@mf.gov.pl,1404,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-garwolinie
mazowieckie,US,Urząd Skarbowy w Gostyninie,09-500,Gostynin,Płocka ,10,Gostynin,(24) 235-89-74,(24) 235-69-51,us.gostynin@mf.gov.pl,1405,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-gostyninie
mazowieckie,US,Urząd Skarbowy w Grodzisku Mazowieckim,05-825,Grodzisk Mazowiecki,Daleka,22,Grodzisk Mazowiecki,(22) 356-75-90,(22) 356-75-03,us.grodzisk-mazowiecki@mf.gov.pl,1406,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-grodzisku-mazowieckim
mazowieckie,US,Urząd Skarbowy w Grójcu,05-600,Grójec,Ks. Piotra Skargi ,35,Grójec,(48) 665-09-00; (48) 665-09-95 - informacja podatkowa,(48) 665-09-03,us.grojec@mf.gov.pl,1407,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-grojcu
mazowieckie,US,Urząd Skarbowy w Kozienicach,26-900,Kozienice,Parkowa ,5,Kozienice,"(48) 611-22-59,  (48) 614-28-87, (48) 614-28-88",(48) 614-28-33,us.kozienice@mf.gov.pl,1408,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-kozienicach
mazowieckie,US,Urząd Skarbowy w Legionowie,05-120,Legionowo,Marszałka Józefa Piłsudskiego,43C,Legionowo,(22) 768-66-00,(22) 768-66-66,us.legionowo@mf.gov.pl,1409,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-legionowie
mazowieckie,US,Urząd Skarbowy w Łosicach,08-200,Łosice,11 Listopada ,1,Łosice,(83) 359-00-32,(83) 357-34-41,us.losice@mf.gov.pl,1410,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-losicach
mazowieckie,US,Urząd Skarbowy w Makowie Mazowieckim,06-200,Maków Mazowiecki,Kopernika ,6C,Maków Mazowiecki,(29) 765-07-00,(29) 717-49-74,us.makow-mazowiecki@mf.gov.pl,1411,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-makowie-mazowieckim
mazowieckie,US,Urząd Skarbowy w Mińsku Mazowieckim,05-300,Mińsk Mazowiecki,Szczecińska ,2,Mińsk Mazowiecki,(25) 759-51-00,(25) 75-83-071,us.minsk-mazowiecki@mf.gov.pl,1412,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-minsku-mazowieckim
mazowieckie,US,Urząd Skarbowy w Mławie,06-500,Mława,Gabriela Narutowicza ,19/7,Mława,(23) 654-34-98,(23) 655-14-38,us.mlawa@mf.gov.pl,1413,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-mlawie
mazowieckie,US,Urząd Skarbowy w Nowym Dworze Mazowieckim,05-100,Nowy Dwór Mazowiecki,Legionów ,7,Nowy Dwór Mazowiecki,(22) 765-90-40,(22) 765-90-99,us.nowydwor-mazowiecki@mf.gov.pl,1414,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-nowym-dworze-mazowieckim
mazowieckie,US,Urząd Skarbowy w Ostrołęce,07-410,Ostrołęka,Przechodnia ,6,Ostrołęka,(29) 746-41-00,(29) 746-41-03,us.ostroleka@mf.gov.pl,1415,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-ostrolece
mazowieckie,US,Urząd Skarbowy w Ostrowi Mazowieckiej,07-300,Ostrów Mazowiecka,Stanisława Duboisa ,1,Ostrów Mazowiecka,"(29) 645-20-00,  (29) 645-20-80",(29) 645-20-01,us.ostrow-mazowiecka@mf.gov.pl,1416,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-ostrowi-mazowieckiej
mazowieckie,US,Urząd Skarbowy w Otwocku,05-400,Otwock,Jana Matejki ,4,Otwock,(22) 778-23-01,(22) 778-23-08,us.otwock@mf.gov.pl,1417,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-otwocku
mazowieckie,US,Urząd Skarbowy w Piasecznie,05-500,Piaseczno,Energetyczna ,5,Piaseczno,(22) 726-67-00,(22) 726-68-54,us.piaseczno@mf.gov.pl,1418,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-piasecznie
mazowieckie,US,Urząd Skarbowy w Płocku,09-402,Płock,1 Maja ,10,Płock,(24) 361-65-00,(24) 361-65-45,us.plock@mf.gov.pl,1419,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-plocku
mazowieckie,US,Urząd Skarbowy w Płońsku,09-100,Płońsk,Spółdzielcza ,2,Płońsk,(23) 662-04-00,(23) 662-93-00,us.plonsk@mf.gov.pl,1420,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-plonsku
mazowieckie,US,Urząd Skarbowy w Pruszkowie,05-800,Pruszków,Stanisława Staszica ,1,Pruszków,"(22) 738-09-00, (22) 738-08-25","(22) 738-07-77, (22) 738-07-76",us.pruszkow@mf.gov.pl,1421,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-pruszkowie
mazowieckie,US,Urząd Skarbowy w Przasnyszu,06-300,Przasnysz,Świerkowa ,3,Przasnysz,(29) 752-26-62,(29) 756-45-08 wew. 303; (29) 752 26 62 wew. 303,us.przasnysz@mf.gov.pl,1422,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-przasnyszu
mazowieckie,US,Urząd Skarbowy w Pułtusku,06-100,Pułtusk,Żwirki i Wigury ,7,Pułtusk,(23) 692-01-12; (23) 692-55-69; (23) 692-52-64; (23) 692-54-10,(23) 692-13-34,us.pultusk@mf.gov.pl,1423,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-pultusku
mazowieckie,US,Pierwszy Urząd Skarbowy w Radomiu,26-615,Radom,Stanisława Zbrowskiego ,106,Radom,(48) 368-14-00; (48) 368-14-03,(48) 368-14-98,1us.radom@mf.gov.pl,1424,www.mazowieckie.kas.gov.pl/pierwszy-urzad-skarbowy-w-radomiu
mazowieckie,US,Drugi Urząd Skarbowy w Radomiu,26-600,Radom,Toruńska ,3,Radom,(48) 385-31-00; (48) 385-31-38,(48) 331-84-48,2us.radom@mf.gov.pl,1425,www.mazowieckie.kas.gov.pl/drugi-urzad-skarbowy-w-radomiu
mazowieckie,US,Urząd Skarbowy w Siedlcach,08-110,Siedlce,Bp. Ignacego Świrskiego,45,Siedlce,"(25) 632-87-20, (25) 632-48-80, (25) 644-27-50, (25) 644-18-50",(25) 633-15-25,us.siedlce@mf.gov.pl,1426,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-siedlcach
mazowieckie,US,Urząd Skarbowy w Sierpcu,09-200,Sierpc,Piastowska ,48,Sierpc,(24) 275-21-08,(24) 275-38-77,us.sierpc@mf.gov.pl,1427,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-sierpcu
mazowieckie,US,Urząd Skarbowy w Sochaczewie,96-500,Sochaczew,Władysława Grabskiego ,4,Sochaczew,"(46) 862-26-04, (46) 862-21-18",(46) 862-26-03,us.sochaczew@mf.gov.pl,1428,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-sochaczewie
mazowieckie,US,Urząd Skarbowy w Sokołowie Podlaskim,08-300,Sokołów Podlaski,Węgrowska ,5,Sokołów Podlaski,(25) 781-27-61; (25) 781-21-01; (25) 781-26-75; (25) 787-73-07,(25) 781-27-61 w.130,us.sokolow-podlaski@mf.gov.pl,1429,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-sokolowie-podlaskim
mazowieckie,US,Urząd Skarbowy w Szydłowcu,26-500,Szydłowiec,Widok ,6,Szydłowiec,(48) 617-00-81; (48) 617-63-17; (48) 617-63-18,(48) 617 04 60; (48) 617 63 16,us.szydlowiec@mf.gov.pl,1430,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-szydlowcu
mazowieckie,US,Urząd Skarbowy Warszawa - Bemowo,02-325,Warszawa,Białobrzeska ,53A,Warszawa,(22) 570-88-00,(22) 570-88-60,us.warszawa.bemowo@mf.gov.pl,1431,www.mazowieckie.kas.gov.pl/urzad-skarbowy-warszawa-bemowo
mazowieckie,US,Urząd Skarbowy Warszawa - Bielany,01-844,Warszawa,Skalbmierska ,5,Warszawa,(22) 569-32-00,(22) 56-93-375,us.warszawa.bielany@mf.gov.pl,1432,www.mazowieckie.kas.gov.pl/urzad-skarbowy-warszawa-bielany
mazowieckie,US,Urząd Skarbowy Warszawa - Mokotów,02-676,Warszawa,Postępu ,16A,Warszawa,"(22) 502-00-00, (22) 502-02-15",(22) 502-02-18,us.warszawa.mokotow@mf.gov.pl,1433,www.mazowieckie.kas.gov.pl/urzad-skarbowy-warszawa-mokotow
mazowieckie,US,Urząd Skarbowy Warszawa - Praga,03-719,Warszawa,Jagiellońska ,15,Warszawa,(22) 509-18-00; (22) 509-18-11,(22) 509-19-90,us.warszawa.praga@mf.gov.pl,1434,www.mazowieckie.kas.gov.pl/urzad-skarbowy-warszawa-praga
mazowieckie,US,Pierwszy Urząd Skarbowy Warszawa - Śródmieście,02-013,Warszawa,Williama Lindleya ,14,Warszawa,(22) 584-61-00; (22) 584-61-06,"(22) 584-61-90,",1us.warszawa.srodmiescie@mf.gov.pl,1435,www.mazowieckie.kas.gov.pl/pierwszy-urzad-skarbowy-warszawa-srodmiescie
mazowieckie,US,Drugi Urząd Skarbowy Warszawa - Śródmieście,03-719,Warszawa,Jagiellońska ,15,Warszawa,(22) 511-35-01,(22) 511-35-02,2us.warszawa.srodmiescie@mf.gov.pl,1436,www.mazowieckie.kas.gov.pl/drugi-urzad-skarbowy-warszawa-srodmiescie
mazowieckie,US,Urząd Skarbowy Warszawa - Targówek,03-484,Warszawa,Dąbrowszczaków,14,Warszawa,(22) 511-76-00,(22) 619-11-04,us.warszawa.targowek@mf.gov.pl,1437,www.mazowieckie.kas.gov.pl/urzad-skarbowy-warszawa-targowek
mazowieckie,US,Urząd Skarbowy Warszawa - Ursynów,02-677,Warszawa,Wynalazek ,3,Warszawa,"(22) 548-68-00,",(22) 548-67-00; (22) 548-68-64; (22) 548-68-01,us.warszawa.ursynow@mf.gov.pl,1438,www.mazowieckie.kas.gov.pl/urzad-skarbowy-warszawa-ursynow
mazowieckie,US,Urząd Skarbowy Warszawa - Wawer,04-379,Warszawa,Ludwika Mycielskiego ,21,Warszawa,(22) 50 94 100,(22) 870-57-19,us.warszawa.wawer@mf.gov.pl,1439,www.mazowieckie.kas.gov.pl/urzad-skarbowy-warszawa-wawer
mazowieckie,US,Urząd Skarbowy Warszawa - Wola,01-381,Warszawa,Powstańców Śląskich ,2D,Warszawa,(22) 533-66-00,(22) 533-66-15,us.warszawa.wola@mf.gov.pl,1440,www.mazowieckie.kas.gov.pl/urzad-skarbowy-warszawa-wola
mazowieckie,US,Urząd Skarbowy w Węgrowie,07-100,Węgrów,Obrębowa,17,Węgrów,(25) 785-96-00,-,us.wegrow@mf.gov.pl,1441,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-wegrowie
mazowieckie,US,Urząd Skarbowy w Wołominie ,05-200,Wołomin,Przejazd ,2,Wołomin,"(22) 787-75-82, (22) 787-75-83,  (22) 787-75-84","(22) 776-40-60, (22) 787-65-10, (22) 787-65-11",us.wolomin@mf.gov.pl,1442,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-wolominie
mazowieckie,US,Urząd Skarbowy w Wyszkowie,07-200,Wyszków,Gen. Józefa Sowińskiego ,82,Wyszków,(29) 74 302 41 ,(29) 742-34-22,us.wyszkow@mf.gov.pl,1443,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-wyszkowie
mazowieckie,US,Urząd Skarbowy w Zwoleniu,26-700,Zwoleń,Wojska Polskiego ,39,Zwoleń,"(48) 676-35-43, (48) 676-35-47, (48) 676-24-67, (48)  676-25-84",(48) 676-35-43 wew.125,us.zwolen@mf.gov.pl,1444,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-zwoleniu
mazowieckie,US,Urząd Skarbowy w Żurominie,09-300,Żuromin,Plac Józefa Piłsudskiego ,4,Żuromin,(23) 657-32-76; (23) 657-32-56; (23) 657-32-63,(23) 657-32-56 wew.127,us.zuromin@mf.gov.pl,1445,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-zurominie
mazowieckie,US,Urząd Skarbowy w Żyrardowie,96-300,Żyrardów,1 Maja ,49A,Żyrardów,"(46) 855-35-56, (46) 855-22-37, (46) 855-41-98, (46) 855-36-53, (46) 855-35-70",(46) 855-35-56 wew.115,us.zyrardow@mf.gov.pl,1446,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-zyrardowie
mazowieckie,US,Urząd Skarbowy w Lipsku,27-300,Lipsko,Solecka ,88,Lipsko,(48) 378-13-35; (48) 378-13-34,-,us.lipsko@mf.gov.pl,1447,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-lipsku
mazowieckie,US,Urząd Skarbowy w Przysusze,26-400,Przysucha,Szkolna ,7,Przysucha,(48) 675-20-76; (48) 675-20-77; (48) 675-20-78,(48) 675-20-75,us.przysucha@mf.gov.pl,1448,www.mazowieckie.kas.gov.pl/urzad-skarbowy-w-przysusze
mazowieckie,US,Trzeci Urząd Skarbowy Warszawa - Śródmieście,02-013,Warszawa,Williama Lindleya ,14,Warszawa,(22) 584-51-00,(22) 58 45 312,3us.warszawa.srodmiescie@mf.gov.pl,1449,www.mazowieckie.kas.gov.pl/trzeci-urzad-skarbowy-warszawa-srodmiescie
mazowieckie,WUS,Pierwszy Mazowiecki Urząd Skarbowy w Warszawie,01-513,Warszawa,Alojzego Felińskiego ,2A,Warszawa,(22) 568-92-00; (22) 568-92-06; (22) 568-92-07; (22) 568-92-08; (22) 568-93-00,(22) 568-93-01,1mazowiecki.us@mf.gov.pl,1471,www.mazowieckie.kas.gov.pl/pierwszy-mazowiecki-urzad-skarbowy-w-warszawie
mazowieckie,WUS,Drugi Mazowiecki Urząd Skarbowy w Warszawie,00-193,Warszawa,Stawki ,2,Warszawa,"(22) 860-71-17, (22) 860-71-60",(22) 860-71-05  ,2mazowiecki.us@mf.gov.pl,1472,www.mazowieckie.kas.gov.pl/drugi-mazowiecki-urzad-skarbowy-w-warszawie
mazowieckie,WUS,Trzeci Mazowiecki Urząd Skarbowy w Radomiu,26-610,Radom,Andrzeja Struga ,26/28,Radom,(48) 362-95-21; (48) 362-95-01; (48) 362-95-47,(48) 363-11-50,3mazowiecki.us@mf.gov.pl,1473,www.mazowieckie.kas.gov.pl/trzeci-mazowiecki-urzad-skarbowy-w-radomiu
mazowieckie,UCS,Mazowiecki Urząd Celno-Skarbowy w Warszawie,03-301,Warszawa,Jagiellońska,55B,Warszawa,22 670 60 00,22 670 60 40,mucs.ucs.448000@mf.gov.pl,448000,www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
mazowieckie,DUCS,Delegatura UCS III „Port Lotniczy” w Warszawie,00-906,Warszawa,Żwirki i Wigury ,1,Warszawa,22 650 34 30           ,22 650 34 18,sekretariat.443000@mf.gov.pl,443000,www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
mazowieckie,OC,Oddział Celny Osobowy w Warszawie,00-906,Warszawa,Żwirki i Wigury ,1,Warszawa,(22) 650-22-13; (22) 650-34-03,(22) 650-22-13,sekretariat.443010@mf.gov.pl,443010,www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
mazowieckie,OC,Oddział Celny Towarowy I w Warszawie,02-158,Warszawa,Wirażowa ,35,Warszawa,(22) 510 45 00; (22) 510 45 01,-,sekretariat.443020@mf.gov.pl,443020,www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
mazowieckie,OC,Oddział Celny Port Lotniczy Warszawa-Modlin,05-102,Nowy Dwór Mazowiecki,Gen. Wiktora Thommee ,1A,Nowy Dwór Mazowiecki,22 346 50 01; 22 510 49 10,"(22) 346-50-08, (22) 346-50-09",OC.443050@mf.gov.pl,443050,www.mazowieckie.kas.gov.pl/mazowiecki-urzad-celno-skarbowy-w-warszawie
